carrier,generation,storage_discharge,storage_charge
BESS-GFM,0.0,4.621296266e9,4.621296275e9
CCGT,3.3245011950812256e6,0.0,0.0
OCGT,69600.0,0.0,0.0
PHS,0.0,4.307900095051433e6,152261.13703590244
biomass,149660.1040843302,0.0,0.0
geothermal,13440.0,0.0,0.0
hydro,0.0,3.1828994063269813e7,1.1561425099884064e6
nuclear,3.6737773122832514e6,0.0,0.0
offwind-ac,2.361842963460435e6,0.0,0.0
offwind-dc,4.244780887668477e6,0.0,0.0
onwind,4.4892018167982e7,0.0,0.0
ror,1.5988841538261153e7,0.0,0.0
solar,3.858371089902712e7,0.0,0.0
