bus,region_name,beta_i,gfm_bess_capacity_GW,GFM_strength_installed,GFL_exposure_peak,min_kappa,mean_kappa,p05_kappa
1,AL1 0,0.0,0.0,236.5,50.0,161.5,161.5,161.5
2,AT1 0,0.0,0.0,16857.0,5400.0,8742.0,8744.94642857143,8742.0
3,BA1 0,0.0,0.0,395.0,100.0,245.0,245.0,245.0
4,BE1 0,0.0,0.0,30983.5,10300.0,15513.5,15518.239583333334,15513.5
5,BG1 0,0.0,0.0,5453.5,1750.0,2763.5,2785.747023809524,2763.5
6,CH1 0,0.0,0.0,9961.0,3000.0,5458.5,5458.983630952381,5458.5
7,CZ1 0,0.0,0.0,7138.0,2350.0,3613.0,3613.0,3613.0
8,DE1 0,0.0,0.0,347475.5,115650.0,173985.5,173993.625,173985.5
9,DK1 0,0.0,0.0,18167.5,6050.0,9075.0,9076.294642857143,9075.0
10,DK2 0,0.0,0.0,3917.5,1300.0,1950.0,1963.1919642857142,1950.0
11,EE6 0,0.0,0.0,1200.0,400.0,600.0,600.0,600.0
12,ES1 0,0.0,0.0,116927.0,38550.0,59022.0,59024.33630952381,59022.0
13,ES4 0,0.0,0.0,1065.0,350.0,525.0,537.7232142857143,525.0
14,FI2 0,0.0,0.0,11356.5,3700.0,5751.5,5804.416666666667,5804.0
15,FR1 0,0.0,0.0,87674.5,28800.0,44472.0,44472.669642857145,44472.0
16,GB0 0,0.0,0.0,106146.0,35200.0,53263.5,53334.43005952381,53263.5
17,GB5 0,0.0,0.0,7517.5,2500.0,3750.0,3756.1458333333335,3750.0
18,GR1 0,0.0,0.0,22063.0,7300.0,11113.0,11113.0,11113.0
19,HR1 0,0.0,0.0,2528.0,800.0,1313.0,1324.7857142857142,1313.0
20,HU1 0,0.0,0.0,6833.5,2250.0,3378.5,3436.252976190476,3378.5
21,IE5 0,0.0,0.0,13240.0,4400.0,6625.0,6638.705357142857,6625.0
22,IT1 0,0.0,0.0,88202.0,29090.0,44549.5,44553.08630952381,44549.5
23,IT3 0,0.0,0.0,10532.5,3500.0,5265.0,5279.650297619048,5265.0
24,LT6 0,0.0,0.0,1865.0,600.0,965.0,965.0,965.0
25,LU1 0,0.0,0.0,1482.5,450.0,805.0,806.9791666666666,805.0
26,LV6 0,0.0,0.0,390.0,100.0,240.0,240.0,240.0
27,ME1 0,0.0,0.0,484.5,150.0,259.5,259.5,259.5
28,MK1 0,0.0,0.0,300.0,100.0,150.0,150.0,150.0
29,NL1 0,0.0,0.0,50180.0,16700.0,25115.0,25128.035714285714,25115.0
30,NO2 0,0.0,0.0,11528.5,3350.0,6488.5,6593.633928571428,6488.5
31,PL1 0,0.0,0.0,30561.0,10150.0,15321.0,15333.767857142857,15321.0
32,PT1 0,0.0,0.0,19249.0,6300.0,9799.0,9799.0,9799.0
33,RO1 0,0.0,0.0,13512.0,4350.0,6922.0,6961.6577380952385,6922.0
34,RS1 0,0.0,0.0,1369.0,400.0,769.0,769.0,769.0
35,SE2 0,0.0,0.0,33839.0,11050.0,17184.0,17251.380952380954,17184.0
36,SI1 0,0.0,0.0,1037.5,300.0,507.5,574.1517857142857,507.5
37,SK1 0,0.0,0.0,1997.0,600.0,1082.0,1094.857142857143,1082.0
