scenario_name,bus_id,bus_name,latitude,longitude,binding_frequency_beta,mean_kappa,min_kappa,BESS_GFM_GW,GFM_strength_installed,GFL_exposure_peak,RES_GW,note
BASE-INTEGER,1,AL1 0,,,0.0,161.5,161.5,0.0,236.5,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,2,AT1 0,,,0.0,8742.0,8742.0,0.0,16842.0,5400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,3,BA1 0,,,0.0,245.0,245.0,0.0,395.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,4,BE1 0,,,0.0,15527.004464285714,15513.5,0.0,30983.5,10300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,5,BG1 0,,,0.0,2764.467261904762,2763.5,0.0,5453.5,1750.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,6,CH1 0,,,0.0,5458.507440476191,5458.5,0.0,9961.0,3000.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,7,CZ1 0,,,0.0,3668.5208333333335,3613.0,0.0,7203.0,2350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,8,DE1 0,,,0.0,174015.5744047619,174000.5,0.0,347493.0,115650.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,9,DK1 0,,,0.0,9080.13392857143,9075.0,0.0,18165.0,6050.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,10,DK2 0,,,0.0,1965.0818452380952,1950.0,0.0,3917.5,1300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,11,EE6 0,,,0.0,600.0,600.0,0.0,1200.0,400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,12,ES1 0,,,0.0,59037.0,59037.0,0.0,116862.0,38550.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,13,ES4 0,,,0.0,537.7232142857143,525.0,0.0,1065.0,350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,14,FI2 0,,,0.0,5805.458333333333,5799.0,0.0,11356.5,3700.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,15,FR1 0,,,0.0,44473.25,44264.5,0.0,87674.5,28800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,16,GB0 0,,,0.0,53346.0,53346.0,0.0,106146.0,35200.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,17,GB5 0,,,0.0,3767.120535714286,3765.0,0.0,7517.5,2500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,18,GR1 0,,,0.0,11113.0,11113.0,0.0,22063.0,7300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,19,HR1 0,,,0.0,1317.5535714285713,1313.0,0.0,2528.0,800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,20,HU1 0,,,0.0,3458.5,3458.5,0.0,6833.5,2250.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,21,IE5 0,,,0.0,6640.0,6640.0,0.0,13240.0,4400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,22,IT1 0,,,0.0,44564.5,44564.5,0.0,88199.5,29090.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,23,IT3 0,,,0.0,5265.78125,5265.0,0.0,10517.5,3500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,24,LT6 0,,,0.0,965.0,965.0,0.0,1865.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,25,LU1 0,,,0.0,807.172619047619,805.0,0.0,1482.5,450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,26,LV6 0,,,0.0,240.0,240.0,0.0,390.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,27,ME1 0,,,0.0,259.5,259.5,0.0,484.5,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,28,MK1 0,,,0.0,150.0,150.0,0.0,300.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,29,NL1 0,,,0.0,25129.464285714286,25115.0,0.0,50180.0,16700.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,30,NO2 0,,,0.0,6488.723214285715,6488.5,0.0,11528.5,3350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,31,PL1 0,,,0.0,15336.0,15336.0,0.0,30561.0,10150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,32,PT1 0,,,0.0,9814.0,9814.0,0.0,19264.0,6300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,33,RO1 0,,,0.0,6987.0,6987.0,0.0,13512.0,4350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,34,RS1 0,,,0.0,769.0,769.0,0.0,1369.0,400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,35,SE2 0,,,0.0,17260.875,17184.0,0.0,33839.0,11050.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,36,SI1 0,,,0.0,577.1875,572.5,0.0,1037.5,300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,37,SK1 0,,,0.0,1097.0,1097.0,0.0,1997.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,1,AL1 0,,,0.0,161.5,161.5,0.0,236.5,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,2,AT1 0,,,0.0,8744.94642857143,8742.0,0.0,16857.0,5400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,3,BA1 0,,,0.0,245.0,245.0,0.0,395.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,4,BE1 0,,,0.0,15518.239583333334,15513.5,0.0,30983.5,10300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,5,BG1 0,,,0.0,2785.747023809524,2763.5,0.0,5453.5,1750.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,6,CH1 0,,,0.0,5458.983630952381,5458.5,0.0,9961.0,3000.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,7,CZ1 0,,,0.0,3613.0,3613.0,0.0,7138.0,2350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,8,DE1 0,,,0.0,173993.625,173985.5,0.0,347475.5,115650.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,9,DK1 0,,,0.0,9076.294642857143,9075.0,0.0,18167.5,6050.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,10,DK2 0,,,0.0,1963.1919642857142,1950.0,0.0,3917.5,1300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,11,EE6 0,,,0.0,600.0,600.0,0.0,1200.0,400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,12,ES1 0,,,0.0,59024.33630952381,59022.0,0.0,116927.0,38550.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,13,ES4 0,,,0.0,537.7232142857143,525.0,0.0,1065.0,350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,14,FI2 0,,,0.0,5804.416666666667,5751.5,0.0,11356.5,3700.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
