carrier,generation,storage_discharge,storage_charge
CCGT,2.2674251252204727e7,0.0,0.0
OCGT,45599.99999999991,0.0,0.0
PHS,0.0,5.099315197393933e6,1.2025312734925838e6
battery_gfl,0.0,5.684341886080802e-14,-7.815970093361092e-14
battery_gfm,0.0,4.0,4.000000000000245
biomass,2.4041386024470343e6,0.0,0.0
coal,2.7235197497347873e6,0.0,0.0
geothermal,3720.0,0.0,0.0
hydro,0.0,1.6504333192972733e7,143963.84346436724
lignite,5.509911700869986e6,0.0,0.0
nuclear,3.9881925225668927e6,0.0,0.0
offwind-ac,394958.19308795914,0.0,0.0
offwind-dc,477728.1026565493,0.0,0.0
oil,350204.76414087735,0.0,0.0
onwind,817234.1154007593,0.0,0.0
ror,7.126947174321939e6,0.0,0.0
solar,851718.8221100955,0.0,0.0
