snapshot,bus,margin,sigma0_G,battery_gfm_contribution
85.0,4.0,-1.9326762412674725e-12,0.0,0.0
12.0,32.0,-2.8421709430404007e-13,0.0,0.0
13.0,32.0,-2.8421709430404007e-13,0.0,0.0
14.0,32.0,-2.8421709430404007e-13,0.0,0.0
5.0,14.0,-5.684341886080802e-14,0.0,0.0
6.0,14.0,-5.684341886080802e-14,0.0,0.0
7.0,14.0,-5.684341886080802e-14,0.0,0.0
8.0,14.0,-5.684341886080802e-14,0.0,0.0
11.0,17.0,-5.684341886080802e-14,0.0,0.0
12.0,17.0,-5.684341886080802e-14,0.0,0.0
13.0,17.0,-5.684341886080802e-14,0.0,0.0
18.0,17.0,-5.684341886080802e-14,0.0,0.0
19.0,17.0,-5.684341886080802e-14,0.0,0.0
143.0,10.0,-1.4210854715202004e-14,0.0,0.0
1.0,23.0,-7.105427357601002e-15,0.0,0.0
2.0,27.0,-7.105427357601002e-15,0.0,0.0
3.0,27.0,-7.105427357601002e-15,0.0,0.0
4.0,23.0,-7.105427357601002e-15,0.0,0.0
4.0,27.0,-7.105427357601002e-15,0.0,0.0
5.0,23.0,-7.105427357601002e-15,0.0,0.0
