bus,region_name,beta_i,gfm_bess_capacity_GW,GFM_strength_installed,GFL_exposure_peak,min_kappa,mean_kappa,p05_kappa
2,AT1 0,1.0,0.0,642.0,5400.0,-7458.0,-7458.0,-7458.0
3,BA1 0,1.0,0.0,95.0,100.0,-55.0,-55.0,-55.0
4,BE1 0,1.0,0.0,78.5,10300.0,-15386.5,-15371.589285714286,-15371.5
5,BG1 0,1.0,0.0,203.5,1750.0,-2421.5,-2421.5,-2421.5
6,CH1 0,1.0,0.0,958.5,3000.0,-3541.5,-3541.5,-3541.5
7,CZ1 0,1.0,0.0,168.0,2350.0,-3372.0,-3371.8660714285716,-3372.0
8,DE1 0,1.0,0.0,543.0,115650.0,-172947.0,-172932.17857142858,-172932.0
9,DK1 0,1.0,0.0,15.0,6050.0,-9060.0,-9060.0,-9060.0
10,DK2 0,1.0,0.0,17.5,1300.0,-1947.5,-1947.4107142857142,-1947.5
11,EE6 0,1.0,0.0,0.0,400.0,-600.0,-600.0,-600.0
12,ES1 0,1.0,0.0,1277.0,38550.0,-56628.0,-56618.82154378229,-56628.0
13,ES4 0,1.0,0.0,15.0,350.0,-522.4038519030614,-521.1263333372711,-522.4038519030614
14,FI2 0,1.0,0.0,219.0,3700.0,-5396.0,-5331.193452380952,-5331.0
15,FR1 0,1.0,0.0,1064.5,28800.0,-42135.5,-42135.5,-42135.5
16,GB0 0,1.0,0.0,546.0,35200.0,-52254.0,-52254.0,-52254.0
17,GB5 0,1.0,0.0,17.5,2500.0,-3747.5,-3732.5446428571427,-3732.5
18,GR1 0,1.0,0.0,163.0,7300.0,-10787.0,-10787.0,-10787.0
19,HR1 0,1.0,0.0,128.0,800.0,-1072.0,-1072.0,-1072.0
20,HU1 0,1.0,0.0,83.5,2250.0,-3291.5,-3291.5,-3291.5
21,IE5 0,1.0,0.0,40.0,4400.0,-6575.0,-6560.044642857143,-6560.0
22,IT1 0,1.0,0.0,932.0,29090.0,-42705.5,-42703.01488095238,-42703.0
23,IT3 0,1.0,0.0,17.5,3500.0,-5232.5,-5232.5,-5232.5
24,LT6 0,1.0,0.0,65.0,600.0,-835.0,-835.0,-835.0
25,LU1 0,1.0,0.0,132.5,450.0,-542.5,-542.5,-542.5
26,LV6 0,1.0,0.0,90.0,100.0,-75.0,-60.044642857142854,-60.0
27,ME1 0,1.0,0.0,34.5,150.0,-190.5,-190.5,-190.5
28,MK1 0,1.0,0.0,0.0,100.0,-150.0,-150.0,-150.0
29,NL1 0,1.0,0.0,80.0,16700.0,-24970.0,-24970.0,-24970.0
30,NO2 0,1.0,0.0,1478.5,3350.0,-3546.5,-3546.5,-3546.5
31,PL1 0,1.0,0.0,111.0,10150.0,-15114.0,-15114.0,-15114.0
32,PT1 0,1.0,0.0,364.0,6300.0,-9086.0,-9086.0,-9086.0
33,RO1 0,1.0,0.0,462.0,4350.0,-6063.0,-6063.0,-6063.0
34,RS1 0,1.0,0.0,169.0,400.0,-431.0,-431.0,-431.0
35,SE2 0,1.0,0.0,689.0,11050.0,-15966.0,-15901.059523809523,-15901.0
36,SI1 0,1.0,0.0,137.5,300.0,-312.5,-312.5,-312.5
37,SK1 0,1.0,0.0,197.0,600.0,-703.0,-703.0,-703.0
1,AL1 0,0.0,0.0,86.5,50.0,11.500000000000014,11.500000000000009,11.500000000000014
