carrier,generation,storage_discharge,storage_charge
CCGT,5.0495752723921336e7,0.0,0.0
OCGT,100800.0,0.0,0.0
PHS,0.0,1.0786536515911868e7,8.976906090321831e6
battery_gfl,0.0,45.0,53.0
battery_gfm,0.0,3.699763377751237e7,3.700823777751237e7
biomass,5.240400403481048e6,0.0,0.0
geothermal,0.0,0.0,0.0
hydro,0.0,3.1234584604735278e7,1.7401878596644772e6
nuclear,2.364455751845977e7,0.0,0.0
offwind-ac,813971.8521250647,0.0,0.0
offwind-dc,1.7235885021955892e6,0.0,0.0
onwind,4.1635461408596076e6,0.0,0.0
ror,1.3722604775708897e7,0.0,0.0
solar,4.2757753034661105e6,0.0,0.0
