snapshot,bus,margin,sigma0_G,battery_gfm_contribution
1.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,715.0241915914676
1.0,22.0,-4.547473508864641e-13,-1.4210854715202004e-14,491.26059369200857
2.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,715.0241915914676
2.0,22.0,-4.547473508864641e-13,-1.4210854715202004e-14,491.26059369200857
3.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,715.0241915914676
4.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,715.0241915914676
4.0,22.0,-4.547473508864641e-13,-1.4210854715202004e-14,491.26059369200857
5.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,715.0241915914676
5.0,22.0,-4.547473508864641e-13,-1.4210854715202004e-14,491.26059369200857
6.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,715.0241915914676
7.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,715.0241915914676
8.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,715.0241915914676
9.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,715.0241915914676
160.0,15.0,-4.547473508864641e-13,0.0,745.4383590419261
161.0,15.0,-4.547473508864641e-13,0.0,745.4383590419261
162.0,15.0,-4.547473508864641e-13,0.0,745.4383590419261
163.0,15.0,-4.547473508864641e-13,0.0,745.4383590419261
164.0,15.0,-4.547473508864641e-13,0.0,745.4383590419261
165.0,15.0,-4.547473508864641e-13,0.0,745.4383590419261
166.0,15.0,-4.547473508864641e-13,0.0,745.4383590419261
