snapshot,mu_t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_rG,min_kappa,median_kappa,min_kappa_bus,binding_node_count,violating_node_count,total_GFL_exposure,total_GFM_strength,local_relative_slack_min,gershgorin_conservatism_gap
1.0,-2.3608886331960816e-13,-2.3608886331960816e-13,1.4999999999999996,-2.9605947323337506e-16,-9.094947017729282e-13,0.0,22.0,20.0,0.0,35031.38426829187,62038.34321634696,-6.063298011819521e-13,9.090506125630782e-13
2.0,1.0162510554347914e-15,1.0162510554347914e-15,1.4999999999999991,-5.921189464667501e-16,-9.094947017729282e-13,0.0,22.0,20.0,0.0,34822.72165947695,62409.37459947579,-6.063298011819521e-13,9.086065233532281e-13
3.0,-2.5624856005775966e-14,-2.5624856005775966e-14,1.4999999999999982,-1.1842378929335002e-15,-9.094947017729282e-13,1.1368683772161603e-13,22.0,20.0,0.0,34786.27727215609,62429.70801849451,-6.063298011819521e-13,9.07718344933528e-13
4.0,-3.646541271867325e-14,-3.646541271867325e-14,1.4999999999999991,-5.921189464667501e-16,-9.094947017729282e-13,0.0,22.0,20.0,0.0,34462.04630466552,62429.70801849451,-6.063298011819521e-13,9.086065233532281e-13
5.0,-2.2967015749888123e-13,-2.2967015749888123e-13,1.4999999999999993,-4.440892098500626e-16,-9.094947017729282e-13,0.0,22.0,19.0,0.0,33225.32859869898,62558.58182097876,-6.063298011819521e-13,9.088285679581531e-13
6.0,-2.6936904584101353e-13,-2.6936904584101353e-13,1.499999999999999,-7.401486830834377e-16,-9.094947017729282e-13,0.0,22.0,23.0,0.0,37355.61089934803,62683.75399528144,-6.063298011819521e-13,9.083844787483031e-13
7.0,-3.661365733209165e-13,-3.661365733209165e-13,1.5,0.0,-9.094947017729282e-13,0.0,31.0,22.0,0.0,36618.01842602422,63025.73062412443,-6.063298011819521e-13,9.094947017729282e-13
8.0,-2.341409349027923e-13,-2.341409349027923e-13,1.4999999999999998,-1.4802973661668753e-16,-9.094947017729282e-13,0.0,31.0,24.0,0.0,39283.49940278161,63086.26763681212,-6.063298011819521e-13,9.092726571680032e-13
9.0,-1.3938659645428057e-13,-1.3938659645428057e-13,1.499999999999999,-7.401486830834377e-16,-4.547473508864641e-13,0.0,33.0,26.0,0.0,40485.40229972727,63133.34102779853,-3.0316490059097606e-13,4.5363712786183896e-13
10.0,-2.5201142630097433e-13,-2.5201142630097433e-13,1.4999999999999991,-5.921189464667501e-16,-4.547473508864641e-13,0.0,33.0,24.0,0.0,39918.74436285965,63247.44245483513,-3.0316490059097606e-13,4.53859172466764e-13
11.0,-2.494404522321303e-13,-2.494404522321303e-13,1.4999999999999982,-1.1842378929335002e-15,-4.547473508864641e-13,0.0,33.0,27.0,0.0,40588.48286087721,63247.44245483513,-3.0316490059097606e-13,4.5297099404706387e-13
