scenario_name,bus_id,bus_name,latitude,longitude,binding_frequency_beta,mean_kappa,min_kappa,BESS_GFM_GW,GFM_strength_installed,GFL_exposure_peak,RES_GW,note
BASE,2,AT1 0,,,1.0,-7458.0,-7458.0,0.0,642.0,5400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,3,BA1 0,,,1.0,-55.0,-55.0,0.0,95.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,4,BE1 0,,,1.0,-15371.589285714286,-15386.5,0.0,78.5,10300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,5,BG1 0,,,1.0,-2421.5,-2421.5,0.0,203.5,1750.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,6,CH1 0,,,1.0,-3541.5,-3541.5,0.0,958.5,3000.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,7,CZ1 0,,,1.0,-3371.8660714285716,-3372.0,0.0,168.0,2350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,8,DE1 0,,,1.0,-172932.17857142858,-172947.0,0.0,543.0,115650.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,9,DK1 0,,,1.0,-9060.0,-9060.0,0.0,15.0,6050.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,10,DK2 0,,,1.0,-1947.4107142857142,-1947.5,0.0,17.5,1300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,11,EE6 0,,,1.0,-600.0,-600.0,0.0,0.0,400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,12,ES1 0,,,1.0,-56618.82154378229,-56628.0,0.0,1277.0,38550.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,13,ES4 0,,,1.0,-521.1263333372711,-522.4038519030614,0.0,15.0,350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,14,FI2 0,,,1.0,-5331.193452380952,-5396.0,0.0,219.0,3700.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
