carrier,type,device_count,p_block_max_min,p_block_max_mean,p_block_max_max,e_block_mean,energy_to_power_hours_mean,b_block_mean,cost_inv_block_mean,investment_cost_per_block_mean,investment_cost_per_MW_mean,investment_cost_per_GW_mean,marginal_cost_mean,p_min_pu_mean,p_max_pu_mean,annual_operation_cost_per_block_mean,annual_operation_to_investment_ratio_mean,startup_cost_mean,shutdown_cost_mean,startup_to_investment_ratio_mean,shutdown_to_investment_ratio_mean,investment_cost_per_strength_mean,missing_p_min_pu_count,zero_p_min_pu_count,zero_marginal_cost_count,zero_startup_cost_count,zero_shutdown_cost_count
CCGT,gfm,37,300.0,300.0,300.0,0.0,0.0,15.0,2.970831878794574e7,8.912495636383722e9,2.970831878794574e7,2.970831878794571e10,42.24674318554755,0.4499999999999997,1.0,1.11024441091619e8,0.012457166389892077,16.5,0.0,1.8513333047414484e-9,0.0,5.941663757589148e8,0,0,0,0,37
lignite,gfm,12,450.0,450.0,450.0,0.0,0.0,22.5,1.574894491334357e8,7.087025211004605e10,1.574894491334357e8,1.5748944913343573e11,12.196852247850158,0.39999999999999997,1.0,4.8079991561025314e7,0.0006784227532641982,45.0,0.0,6.349631708678672e-10,0.0,3.149788982668714e9,0,0,0,0,12
biomass,gfm,12,50.0,50.0,50.0,0.0,0.0,2.5,1.3904153267802237e7,6.952076633901117e8,1.3904153267802237e7,1.390415326780223e10,14.893617021276604,0.0,1.0,6.523404255319149e6,0.009383389451589784,3.5,0.0,5.03446694320456e-9,0.0,2.780830653560447e8,0,12,0,0,12
ror,gfm,28,50.0,50.0,50.0,0.0,0.0,2.5,1.4957011246461468e7,7.47850562323074e8,1.4957011246461468e7,1.4957011246461481e10,0.0,0.0,0.5834268718207138,0.0,0.0,0.0,0.0,0.0,0.0,2.9914022492922956e8,0,28,28,28,28
offwind-ac,gfl,28,100.0,100.0,100.0,0.0,0.0,0.0,1.8938226140537664e7,1.8938226140537648e9,1.8938226140537664e7,1.8938226140537655e10,0.01500000000000001,0.0,0.44822321404786675,5889.653032588972,3.109928558716515e-6,0.0,0.0,0.0,0.0,NaN,0,28,0,28,28
solar,gfl,37,50.0,50.0,50.0,0.0,0.0,0.0,1.7801035621902216e6,8.900517810951105e7,1.7801035621902216e6,1.7801035621902232e9,0.010000000000000007,0.0,0.10753400455565326,470.99893995376135,5.29181503770768e-6,0.0,0.0,0.0,0.0,NaN,0,37,0,37,37
offwind-dc,gfl,23,100.0,100.0,100.0,0.0,0.0,0.0,2.1344257162772294e7,2.134425716277229e9,2.1344257162772294e7,2.134425716277228e10,0.015000000000000008,0.0,0.5218507096746455,6857.118325124843,3.21262917366116e-6,0.0,0.0,0.0,0.0,NaN,0,23,0,23,23
onwind,gfl,37,50.0,50.0,50.0,0.0,0.0,0.0,4.804294400998315e6,2.4021472004991552e8,4.804294400998315e6,4.804294400998319e9,0.01500000000000001,0.0,0.2330716977220406,1531.2810540338062,6.374634550770293e-6,0.0,0.0,0.0,0.0,NaN,0,37,0,37,37
oil,gfm,10,20.0,20.0,20.0,0.0,0.0,1.0,757416.1481337658,1.5148322962675314e7,757416.1481337658,7.574161481337659e8,147.79272494562747,0.0,1.0,2.589328541047394e7,1.70931696361859,0.0,0.0,0.0,0.0,1.5148322962675314e7,0,10,0,10,10
nuclear,gfm,13,1300.0,1300.0,1300.0,0.0,0.0,65.0,9.188044017996465e8,1.194445722339541e12,9.18804401799647e8,9.188044017996466e11,11.378787878787877,0.5,0.8572307692307691,1.1108136581818177e8,9.299825328237482e-5,260.0,0.0,2.1767418572251423e-10,0.0,1.8376088035992943e10,0,0,0,0,13
OCGT,gfm,37,300.0,300.0,300.0,0.0,0.0,15.0,1.3528632454536742e7,4.058589736361024e9,1.3528632454536742e7,1.3528632454536745e10,53.398784807129466,0.2000000000000001,1.0,1.4033200647313625e8,0.03457654396942308,21.0,0.0,5.1742110841754674e-9,0.0,2.705726490907351e8,0,0,0,0,37
coal,gfm,10,300.0,300.0,300.0,0.0,0.0,15.0,1.0499296608895716e8,3.149788982668714e10,1.0499296608895716e8,1.0499296608895715e11,28.196531007679717,0.325,1.0,7.410048348818229e7,0.0023525538979249122,30.0,0.0,9.524447563018006e-10,0.0,2.099859321779143e9,0,0,0,0,10
geothermal,gfl,1,40.0,40.0,40.0,0.0,0.0,0.0,1.3379287962371446e7,5.3517151849485785e8,1.3379287962371446e7,1.3379287962371447e10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0,1,1,1,1
PHS,gfm,25,150.0,150.0,150.0,26777.67608898595,178.51784059323967,7.5,2.660178249292295e7,3.9902673739384446e9,2.660178249292295e7,2.660178249292297e10,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.320356498584593e8,0,0,25,25,25
hydro,gfm,27,20.0,20.0,20.0,220867.07954364826,11043.353977182413,1.0,3.5469043323897272e6,7.09380866477945e7,3.5469043323897272e6,3.5469043323897257e9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09380866477945e7,0,27,27,27,27
battery_gfm,gfm,37,100.0,100.0,100.0,600.0,6.0,5.0,421112.43059342954,4.2111243059342936e7,421112.43059342954,4.211124305934296e8,0.010616603578016876,0.0,1.0,9300.144734342794,0.00022084707215213462,0.0,0.0,0.0,0.0,8.422248611868596e6,0,37,0,37,37
battery_gfl,gfl,37,100.0,100.0,100.0,600.0,6.0,0.0,396341.1111467573,3.963411111467575e7,396341.1111467573,3.963411111467572e8,0.009992097485192362,0.0,1.0,8753.077397028508,0.00022084707215213462,0.0,0.0,0.0,0.0,NaN,0,37,0,37,37
