bus,gfl_component_id,gfm_component_id,gfl_investment_cost_per_block,gfm_investment_cost_per_block,investment_premium_percent,gfl_marginal_cost,gfm_marginal_cost,marginal_cost_premium_percent,gfl_energy_to_power_hours,gfm_energy_to_power_hours,gfm_b_block,gfm_cost_per_strength
1,53,54,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
13,77,78,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
15,81,82,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
25,101,102,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
29,109,110,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
11,73,74,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
7,65,66,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
27,105,106,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
34,119,120,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
12,75,76,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
30,111,112,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
6,63,64,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
35,121,122,3.963411111467573e7,4.2111243059342965e7,6.25,0.00999209748519236,0.010616603578016883,6.25,6.0,6.0,5.0,8.422248611868594e6
