scenario_name,carrier,type,invested_blocks,invested_capacity_GW,investment_cost,investment_cost_per_GW_mean,annual_operation_cost_per_block_mean,annual_operation_to_investment_ratio_mean,startup_to_investment_ratio_mean,shutdown_to_investment_ratio_mean
BASE,CCGT,gfm,0.0,0.0,0.0,2.970831878794571e10,1.11024441091619e8,0.012457166389892077,1.8513333047414484e-9,0.0
BASE,lignite,gfm,0.0,0.0,0.0,1.5748944913343573e11,4.8079991561025314e7,0.0006784227532641982,6.349631708678672e-10,0.0
BASE,biomass,gfm,0.0,0.0,0.0,1.390415326780223e10,6.523404255319149e6,0.009383389451589784,5.03446694320456e-9,0.0
BASE,ror,gfm,0.0,0.0,0.0,1.4957011246461481e10,0.0,0.0,0.0,0.0
BASE,offwind-ac,gfl,0.0,0.0,0.0,1.8938226140537655e10,5889.653032588972,3.109928558716515e-6,0.0,0.0
BASE,solar,gfl,0.0,0.0,0.0,1.7801035621902232e9,470.99893995376135,5.29181503770768e-6,0.0,0.0
BASE,offwind-dc,gfl,0.0,0.0,0.0,2.134425716277228e10,6857.118325124843,3.21262917366116e-6,0.0,0.0
BASE,onwind,gfl,0.0,0.0,0.0,4.804294400998319e9,1531.2810540338062,6.374634550770293e-6,0.0,0.0
BASE,oil,gfm,0.0,0.0,0.0,7.574161481337659e8,2.589328541047394e7,1.70931696361859,0.0,0.0
BASE,nuclear,gfm,0.0,0.0,0.0,9.188044017996466e11,1.1108136581818177e8,9.299825328237482e-5,2.1767418572251423e-10,0.0
BASE,OCGT,gfm,0.0,0.0,0.0,1.3528632454536745e10,1.4033200647313625e8,0.03457654396942308,5.1742110841754674e-9,0.0
BASE,coal,gfm,0.0,0.0,0.0,1.0499296608895715e11,7.410048348818229e7,0.0023525538979249122,9.524447563018006e-10,0.0
BASE,geothermal,gfl,0.0,0.0,0.0,1.3379287962371447e10,0.0,0.0,0.0,0.0
BASE,PHS,gfm,0.0,0.0,0.0,2.660178249292297e10,0.0,0.0,0.0,0.0
BASE,hydro,gfm,0.0,0.0,0.0,3.5469043323897257e9,0.0,0.0,0.0,0.0
BASE,battery_gfm,gfm,0.0,0.0,0.0,4.211124305934296e8,9300.144734342794,0.00022084707215213462,0.0,0.0
BASE,battery_gfl,gfl,0.0,0.0,0.0,3.963411111467572e8,8753.077397028508,0.00022084707215213462,0.0,0.0
gSCR-GERSH-1.0,CCGT,gfm,0.0,0.0,0.0,2.970831878794571e10,1.11024441091619e8,0.012457166389892077,1.8513333047414484e-9,0.0
gSCR-GERSH-1.0,lignite,gfm,0.0,0.0,0.0,1.5748944913343573e11,4.8079991561025314e7,0.0006784227532641982,6.349631708678672e-10,0.0
gSCR-GERSH-1.0,biomass,gfm,0.0,0.0,0.0,1.390415326780223e10,6.523404255319149e6,0.009383389451589784,5.03446694320456e-9,0.0
gSCR-GERSH-1.0,ror,gfm,0.0,0.0,0.0,1.4957011246461481e10,0.0,0.0,0.0,0.0
gSCR-GERSH-1.0,offwind-ac,gfl,0.0,0.0,0.0,1.8938226140537655e10,5889.653032588972,3.109928558716515e-6,0.0,0.0
gSCR-GERSH-1.0,solar,gfl,1.0920000000000003,0.05460000000000001,9.719365449558617e7,1.7801035621902232e9,470.99893995376135,5.29181503770768e-6,0.0,0.0
gSCR-GERSH-1.0,offwind-dc,gfl,0.0,0.0,0.0,2.134425716277228e10,6857.118325124843,3.21262917366116e-6,0.0,0.0
gSCR-GERSH-1.0,onwind,gfl,0.0,0.0,0.0,4.804294400998319e9,1531.2810540338062,6.374634550770293e-6,0.0,0.0
gSCR-GERSH-1.0,oil,gfm,0.0,0.0,0.0,7.574161481337659e8,2.589328541047394e7,1.70931696361859,0.0,0.0
gSCR-GERSH-1.0,nuclear,gfm,0.0,0.0,0.0,9.188044017996466e11,1.1108136581818177e8,9.299825328237482e-5,2.1767418572251423e-10,0.0
gSCR-GERSH-1.0,OCGT,gfm,0.0,0.0,0.0,1.3528632454536745e10,1.4033200647313625e8,0.03457654396942308,5.1742110841754674e-9,0.0
gSCR-GERSH-1.0,coal,gfm,0.0,0.0,0.0,1.0499296608895715e11,7.410048348818229e7,0.0023525538979249122,9.524447563018006e-10,0.0
gSCR-GERSH-1.0,geothermal,gfl,0.0,0.0,0.0,1.3379287962371447e10,0.0,0.0,0.0,0.0
gSCR-GERSH-1.0,PHS,gfm,0.0,0.0,0.0,2.660178249292297e10,0.0,0.0,0.0,0.0
gSCR-GERSH-1.0,hydro,gfm,0.0,0.0,0.0,3.5469043323897257e9,0.0,0.0,0.0,0.0
gSCR-GERSH-1.0,battery_gfm,gfm,4148.031829821719,414.8031829821718,1.7467877660351358e11,4.211124305934296e8,9300.144734342794,0.00022084707215213462,0.0,0.0
gSCR-GERSH-1.0,battery_gfl,gfl,0.02,0.002,792682.2222935146,3.963411111467572e8,8753.077397028508,0.00022084707215213462,0.0,0.0
gSCR-GERSH-1.5,CCGT,gfm,0.0,0.0,0.0,2.970831878794571e10,1.11024441091619e8,0.012457166389892077,1.8513333047414484e-9,0.0
gSCR-GERSH-1.5,lignite,gfm,0.0,0.0,0.0,1.5748944913343573e11,4.8079991561025314e7,0.0006784227532641982,6.349631708678672e-10,0.0
gSCR-GERSH-1.5,biomass,gfm,0.0,0.0,0.0,1.390415326780223e10,6.523404255319149e6,0.009383389451589784,5.03446694320456e-9,0.0
gSCR-GERSH-1.5,ror,gfm,0.0,0.0,0.0,1.4957011246461481e10,0.0,0.0,0.0,0.0
gSCR-GERSH-1.5,offwind-ac,gfl,0.0,0.0,0.0,1.8938226140537655e10,5889.653032588972,3.109928558716515e-6,0.0,0.0
gSCR-GERSH-1.5,solar,gfl,0.13400000000000012,0.006700000000000006,1.1926693866674503e7,1.7801035621902232e9,470.99893995376135,5.29181503770768e-6,0.0,0.0
gSCR-GERSH-1.5,offwind-dc,gfl,0.0,0.0,0.0,2.134425716277228e10,6857.118325124843,3.21262917366116e-6,0.0,0.0
gSCR-GERSH-1.5,onwind,gfl,0.0,0.0,0.0,4.804294400998319e9,1531.2810540338062,6.374634550770293e-6,0.0,0.0
gSCR-GERSH-1.5,oil,gfm,0.0,0.0,0.0,7.574161481337659e8,2.589328541047394e7,1.70931696361859,0.0,0.0
gSCR-GERSH-1.5,nuclear,gfm,0.0,0.0,0.0,9.188044017996466e11,1.1108136581818177e8,9.299825328237482e-5,2.1767418572251423e-10,0.0
gSCR-GERSH-1.5,OCGT,gfm,0.0,0.0,0.0,1.3528632454536745e10,1.4033200647313625e8,0.03457654396942308,5.1742110841754674e-9,0.0
gSCR-GERSH-1.5,coal,gfm,0.0,0.0,0.0,1.0499296608895715e11,7.410048348818229e7,0.0023525538979249122,9.524447563018006e-10,0.0
gSCR-GERSH-1.5,geothermal,gfl,0.0,0.0,0.0,1.3379287962371447e10,0.0,0.0,0.0,0.0
gSCR-GERSH-1.5,PHS,gfm,0.0,0.0,0.0,2.660178249292297e10,0.0,0.0,0.0,0.0
gSCR-GERSH-1.5,hydro,gfm,0.0,0.0,0.0,3.5469043323897257e9,0.0,0.0,0.0,0.0
gSCR-GERSH-1.5,battery_gfm,gfm,8211.49774473258,821.1497744732579,3.4579637740968024e11,4.211124305934296e8,9300.144734342794,0.00022084707215213462,0.0,0.0
gSCR-GERSH-1.5,battery_gfl,gfl,0.01,0.001,396341.1111467573,3.963411111467572e8,8753.077397028508,0.00022084707215213462,0.0,0.0
