scenario_name,carrier,type,total_installed_blocks,mean_online_blocks,max_online_blocks,online_block_fraction_mean,online_block_fraction_max,online_hours_total,online_hours_fraction
BASE,CCGT,gfm,550.0,20.81557803330085,25.0,0.03784650551509247,0.045454545454545456,7289,0.5863095238095238
BASE,OCGT,gfm,1.0,1.0,1.0,1.0,1.0,336,0.02702702702702703
BASE,offwind-ac,gfl,84.0,84.0,84.0,1.0,1.0,4032,0.42857142857142855
BASE,onwind,gfl,3604.0,3604.0,3604.0,1.0,1.0,12096,0.972972972972973
BASE,ror,gfm,996.0,996.0,996.0,1.0,1.0,9408,1.0
BASE,solar,gfl,3047.0,3047.0,3047.0,1.0,1.0,12432,1.0
BASE,biomass,gfm,329.0,8.994047619047619,9.0,0.02733753075698363,0.02735562310030395,3022,0.7495039682539683
BASE,offwind-dc,gfl,164.0,164.0,164.0,1.0,1.0,3024,0.391304347826087
BASE,nuclear,gfm,60.0,11.005952380952381,12.0,0.18343253968253945,0.2,3698,0.8466117216117216
BASE,geothermal,gfl,1.0,1.0,1.0,1.0,1.0,336,1.0
BASE,hydro,gfm,4923.0,4923.0,4923.0,1.0,1.0,8736,0.9629629629629629
BASE,PHS,gfm,362.0,362.0,362.0,1.0,1.0,8400,1.0
BASE,battery_gfl,gfl,0.0,0.0,0.0,0.0,0.0,0,0.0
BASE,battery_gfm,gfm,0.0,0.0,0.0,0.0,0.0,0,0.0
gSCR-GERSH-1.0,CCGT,gfm,550.0,512.2189088301712,516.9487828904946,0.9313071069639481,0.9399068779827174,9408,0.7567567567567568
gSCR-GERSH-1.0,OCGT,gfm,1.0,1.0,1.0,1.0,1.0,336,0.02702702702702703
gSCR-GERSH-1.0,offwind-ac,gfl,84.0,24.225352741817353,56.40323224188363,0.2883970564502067,0.6714670504986147,607,0.06451955782312925
gSCR-GERSH-1.0,onwind,gfl,3604.0,247.83012743212134,426.55172060031475,0.06876529617983387,0.11835508340741253,2574,0.20704633204633205
gSCR-GERSH-1.0,ror,gfm,996.0,996.0,996.0,1.0,1.0,9408,1.0
gSCR-GERSH-1.0,solar,gfl,3048.0919999999996,254.5104347301253,422.793683310317,0.08349827850672663,0.1387076516425085,2641,0.21243564993564992
gSCR-GERSH-1.0,biomass,gfm,329.0,319.9699686661484,329.0,0.9725530962496911,1.0,4032,1.0
gSCR-GERSH-1.0,offwind-dc,gfl,164.0,51.29727685105945,80.49145925444367,0.31278827348206967,0.4908015808197785,942,0.12189440993788819
gSCR-GERSH-1.0,nuclear,gfm,60.0,55.89107709410992,56.0,0.9315179515684988,0.9333333333333333,4368,1.0
gSCR-GERSH-1.0,geothermal,gfl,1.0,0.0,0.0,0.0,0.0,0,0.0
gSCR-GERSH-1.0,hydro,gfm,4923.0,4923.0,4923.0,1.0,1.0,8736,0.9629629629629629
gSCR-GERSH-1.0,PHS,gfm,362.0,362.0,362.0,1.0,1.0,8400,1.0
gSCR-GERSH-1.0,battery_gfl,gfl,0.02,0.0030059523809523817,0.02,0.15029761904761904,1.0,101,0.008124195624195625
gSCR-GERSH-1.0,battery_gfm,gfm,4148.031829821719,4148.031829821715,4148.031829821718,0.9999999999999998,0.9999999999999998,11424,0.918918918918919
gSCR-GERSH-1.5,CCGT,gfm,550.0,510.4949290987614,519.599569711309,0.9281725983613843,0.9447264903841981,9408,0.7567567567567568
gSCR-GERSH-1.5,OCGT,gfm,1.0,1.0,1.0,1.0,1.0,336,0.02702702702702703
gSCR-GERSH-1.5,offwind-ac,gfl,84.0,7.722004981831955,23.0,0.09192863073609477,0.27380952380952384,346,0.03677721088435374
gSCR-GERSH-1.5,onwind,gfl,3604.0,273.1402842250031,458.1208045676217,0.07578809218229832,0.12711454066804154,3717,0.2989864864864865
gSCR-GERSH-1.5,ror,gfm,996.0,996.0,996.0,1.0,1.0,9408,1.0
gSCR-GERSH-1.5,solar,gfl,3047.134,312.6757187390032,488.39933458728024,0.10261305171974817,0.160281541470536,3466,0.2787966537966538
gSCR-GERSH-1.5,biomass,gfm,329.0,319.6008036823644,329.0,0.9714310142321106,1.0,4032,1.0
gSCR-GERSH-1.5,offwind-dc,gfl,164.0,56.24218286312693,89.18430437821553,0.34294013940931073,0.5438067340135093,996,0.12888198757763975
gSCR-GERSH-1.5,nuclear,gfm,60.0,55.89653459878487,56.0,0.9316089099797479,0.9333333333333333,4368,1.0
gSCR-GERSH-1.5,geothermal,gfl,1.0,0.0,0.0,0.0,0.0,0,0.0
gSCR-GERSH-1.5,hydro,gfm,4923.0,4923.0,4923.0,1.0,1.0,8736,0.9629629629629629
gSCR-GERSH-1.5,PHS,gfm,362.0,361.9995676776219,362.0,0.9999988057392873,1.0,8400,1.0
gSCR-GERSH-1.5,battery_gfl,gfl,0.01,0.0009523809523809526,0.01,0.09523809523809523,1.0,32,0.002574002574002574
gSCR-GERSH-1.5,battery_gfm,gfm,8211.49774473258,8211.49774473258,8211.497744732582,1.0,1.0000000000000002,11424,0.918918918918919
