scenario_name,carrier,type,online_count,online_zero_dispatch_count,online_zero_dispatch_fraction,online_capacity_zero_dispatch_sum,mean_na_when_online,mean_dispatch_when_online,mean_dispatch_utilization_when_online
BASE,CCGT,gfm,7289,7289,1.0,2.098210265756726e6,0.9595327506090116,,0.8217336395745811
BASE,OCGT,gfm,336,336,1.0,100800.0,1.0,,1.0
BASE,offwind-ac,gfl,4032,4032,1.0,2.8224e6,7.0,,0.8406640398993456
BASE,onwind,gfl,12096,12096,1.0,6.05472e7,100.11111111111111,,0.6895167591577512
BASE,ror,gfm,9408,9408,1.0,1.67328e7,35.57142857142857,,0.8837308356332335
BASE,solar,gfl,12432,12432,1.0,5.11896e7,82.35135135135135,,0.6983853271390126
BASE,biomass,gfm,3022,3022,1.0,151100.0,1.0,,0.8646708204806484
BASE,offwind-dc,gfl,3024,3024,1.0,5.5104e6,18.22222222222222,,0.7536679272562143
BASE,nuclear,gfm,3698,3698,1.0,4.8074e6,1.0,,0.8663767431032121
BASE,geothermal,gfl,336,336,1.0,13440.0,1.0,,1.0
BASE,hydro,gfm,8736,8736,1.0,3.308256e7,189.34615384615384,,0.8957858717006542
BASE,PHS,gfm,8400,8400,1.0,1.82448e7,14.48,,0.2355345500017326
BASE,battery_gfl,gfl,0,0,0.0,0.0,0.0,,0.0
BASE,battery_gfm,gfm,0,0,0.0,0.0,0.0,,0.0
gSCR-GERSH-1.0,CCGT,gfm,9408,9408,1.0,5.16316660100813e7,18.293532458220415,,0.9779996778345711
gSCR-GERSH-1.0,OCGT,gfm,336,336,1.0,100800.0,1.0,,1.0
gSCR-GERSH-1.0,offwind-ac,gfl,607,607,1.0,813971.8521250632,13.409750446870895,,1.0000000000000007
gSCR-GERSH-1.0,onwind,gfl,2574,2574,1.0,4.163546140859639e6,32.35078586526526,,1.0
gSCR-GERSH-1.0,ror,gfm,9408,9408,1.0,1.67328e7,35.57142857142857,,0.8201021213251157
gSCR-GERSH-1.0,solar,gfl,2641,2641,1.0,4.275775303466105e6,32.379972006558916,,1.0
gSCR-GERSH-1.0,biomass,gfm,4032,4032,1.0,5.375495473591292e6,26.664164055512376,,0.9748683501318316
gSCR-GERSH-1.0,offwind-dc,gfl,942,942,1.0,1.7235885021955965e6,18.297117857702705,,1.0
gSCR-GERSH-1.0,nuclear,gfm,4368,4368,1.0,2.4413222474707216e7,4.29931362262384,,0.9685144000533397
gSCR-GERSH-1.0,geothermal,gfl,0,0,0.0,0.0,0.0,,0.0
gSCR-GERSH-1.0,hydro,gfm,8736,8736,1.0,3.308256e7,189.34615384615384,,0.9441404959209709
gSCR-GERSH-1.0,PHS,gfm,8400,8400,1.0,1.82448e7,14.48,,0.5912115515605469
gSCR-GERSH-1.0,battery_gfl,gfl,101,101,1.0,101.0,0.01,,0.44554455445544555
gSCR-GERSH-1.0,battery_gfm,gfm,11424,11424,1.0,1.3937386948200974e8,122.00093617122701,,0.2654560278409151
gSCR-GERSH-1.5,CCGT,gfm,9408,9408,1.0,5.145788885315514e7,18.23196175352719,,0.9760739286825234
gSCR-GERSH-1.5,OCGT,gfm,336,336,1.0,100800.0,1.0,,1.0
gSCR-GERSH-1.5,offwind-ac,gfl,346,346,1.0,259459.36738955393,7.498825647096929,,1.0
gSCR-GERSH-1.5,onwind,gfl,3717,3717,1.0,4.588756774980053e6,24.690647161582202,,1.0
gSCR-GERSH-1.5,ror,gfm,9408,9408,1.0,1.67328e7,35.57142857142857,,0.8000264356300011
gSCR-GERSH-1.5,solar,gfl,3466,3466,1.0,5.252952074815255e6,30.311321839672555,,1.0
gSCR-GERSH-1.5,biomass,gfm,4032,4032,1.0,5.369293501863723e6,26.6334003068637,,0.9731686773426477
gSCR-GERSH-1.5,offwind-dc,gfl,996,996,1.0,1.8897373442010656e6,18.973266508042826,,1.0
gSCR-GERSH-1.5,nuclear,gfm,4368,4368,1.0,2.4415606312749244e7,4.299733430675761,,0.9627812709621844
gSCR-GERSH-1.5,geothermal,gfl,0,0,0.0,0.0,0.0,,0.0
gSCR-GERSH-1.5,hydro,gfm,8736,8736,1.0,3.308256e7,189.34615384615384,,0.9399820105449044
gSCR-GERSH-1.5,PHS,gfm,8400,8400,1.0,1.824477821095215e7,14.47998270710488,,0.5903367548117207
gSCR-GERSH-1.5,battery_gfl,gfl,32,32,1.0,32.0,0.010000000000000004,,0.375
gSCR-GERSH-1.5,battery_gfm,gfm,11424,11424,1.0,2.759063242230147e8,241.51463955095826,,0.8813194693235739
