scenario_name,bus,region_name,invested_BESS_GFM_GW,invested_BESS_GFL_GW,invested_RES_GW,invested_gas_GW,mean_online_GFM_strength,max_online_GFM_strength,mean_online_GFL_exposure,max_online_GFL_exposure,total_generation_MWh,total_storage_discharge_MWh,total_storage_charge_MWh,min_local_gscr_cover_ratio,max_local_gscr_utilization_ratio,local_binding_frequency_095,local_binding_frequency_099
BASE,1,AL1 0,0.0,0.0,0.0,0.0,9.61111111111111,84.0,12.5,50.0,,,,,,,
BASE,2,AT1 0,0.0,0.0,0.0,0.0,71.33333333333333,247.5,1800.0,3200.0,,,,,,,
BASE,3,BA1 0,0.0,0.0,0.0,0.0,11.875,80.0,33.333333333333336,50.0,,,,,,,
BASE,4,BE1 0,0.0,0.0,0.0,0.0,6.534226190476191,60.0,2060.0,5600.0,,,,,,,
BASE,5,BG1 0,0.0,0.0,0.0,0.0,16.958333333333332,96.0,350.0,1050.0,,,,,,,
BASE,6,CH1 0,0.0,0.0,0.0,0.0,87.13636363636364,476.0,1000.0,2950.0,,,,,,,
BASE,7,CZ1 0,0.0,0.0,0.0,0.0,15.313392857142857,65.0,783.3333333333334,2050.0,,,,,,,
BASE,8,DE1 0,0.0,0.0,0.0,0.0,45.23511904761905,375.0,23130.0,54350.0,,,,,,,
BASE,9,DK1 0,0.0,0.0,0.0,0.0,1.6666666666666667,15.0,1210.0,3750.0,,,,,,,
BASE,10,DK2 0,0.0,0.0,0.0,0.0,0.2876984126984127,15.0,260.0,750.0,,,,,,,
BASE,11,EE6 0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,300.0,,,,,,,
BASE,12,ES1 0,0.0,0.0,0.0,0.0,100.51487135147802,742.0,7710.0,26800.0,,,,,,,
BASE,13,ES4 0,0.0,0.0,0.0,0.0,0.4842083328411417,15.0,70.0,250.0,,,,,,,
BASE,14,FI2 0,0.0,0.0,0.0,0.0,18.23387896825397,72.5,740.0,3150.0,,,,,,,
BASE,15,FR1 0,0.0,0.0,0.0,0.0,81.88461538461539,402.0,5760.0,17150.0,,,,,,,
BASE,16,GB0 0,0.0,0.0,0.0,0.0,42.0,437.5,7040.0,13000.0,,,,,,,
BASE,17,GB5 0,0.0,0.0,0.0,0.0,1.939484126984127,15.0,500.0,1050.0,,,,,,,
BASE,18,GR1 0,0.0,0.0,0.0,0.0,14.818181818181818,128.0,1460.0,4100.0,,,,,,,
BASE,19,HR1 0,0.0,0.0,0.0,0.0,11.636363636363637,93.0,160.0,750.0,,,,,,,
BASE,20,HU1 0,0.0,0.0,0.0,0.0,9.277777777777779,65.0,750.0,1950.0,,,,,,,
BASE,21,IE5 0,0.0,0.0,0.0,0.0,3.6323051948051948,15.0,880.0,4250.0,,,,,,,
BASE,22,IT1 0,0.0,0.0,0.0,0.0,71.69116300366301,360.0,4848.333333333333,20400.0,,,,,,,
BASE,23,IT3 0,0.0,0.0,0.0,0.0,1.5909090909090908,7.5,875.0,2350.0,,,,,,,
BASE,24,LT6 0,0.0,0.0,0.0,0.0,6.5,45.0,120.0,500.0,,,,,,,
BASE,25,LU1 0,0.0,0.0,0.0,0.0,14.722222222222221,127.5,150.0,250.0,,,,,,,
BASE,26,LV6 0,0.0,0.0,0.0,0.0,9.995039682539682,75.0,20.0,50.0,,,,,,,
BASE,27,ME1 0,0.0,0.0,0.0,0.0,3.45,17.0,37.5,100.0,,,,,,,
BASE,28,MK1 0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,50.0,,,,,,,
BASE,29,NL1 0,0.0,0.0,0.0,0.0,8.88888888888889,65.0,3340.0,10200.0,,,,,,,
BASE,30,NO2 0,0.0,0.0,0.0,0.0,147.85,1456.0,670.0,3200.0,,,,,,,
BASE,31,PL1 0,0.0,0.0,0.0,0.0,10.090909090909092,82.5,2030.0,6250.0,,,,,,,
BASE,32,PT1 0,0.0,0.0,0.0,0.0,36.4,180.0,1575.0,5200.0,,,,,,,
BASE,33,RO1 0,0.0,0.0,0.0,0.0,42.0,222.0,870.0,3000.0,,,,,,,
BASE,34,RS1 0,0.0,0.0,0.0,0.0,18.77777777777778,85.0,133.33333333333334,350.0,,,,,,,
BASE,35,SE2 0,0.0,0.0,0.0,0.0,56.16170634920635,539.0,2210.0,9450.0,,,,,,,
BASE,36,SI1 0,0.0,0.0,0.0,0.0,12.5,65.0,75.0,250.0,,,,,,,
BASE,37,SK1 0,0.0,0.0,0.0,0.0,19.7,67.5,200.0,550.0,,,,,,,
