carrier,generation,storage_discharge,storage_charge
BESS-GFM,0.0,4.805290672e9,4.805290913e9
CCGT,2.547477413057474e6,0.0,0.0
OCGT,9600.0,0.0,0.0
PHS,0.0,4.364698797862632e6,862755.7522001438
biomass,112790.52905671285,0.0,0.0
geothermal,6880.0,0.0,0.0
hydro,0.0,2.7595455564905375e7,5.192341746174701e6
nuclear,2.4973905457645115e6,0.0,0.0
offwind-ac,2.2573820081548477e6,0.0,0.0
offwind-dc,4.196208242823523e6,0.0,0.0
onwind,5.3455440421343684e7,0.0,0.0
ror,1.2719733914945401e7,0.0,0.0
solar,4.442293563960199e7,0.0,0.0
