bus,region_name,beta_i,gfm_bess_capacity_GW,GFM_strength_installed,GFL_exposure_peak,min_kappa,mean_kappa,p05_kappa
2,AT1 0,1.0,0.0,642.0,5400.0,-7458.0,-7458.0,-7458.0
3,BA1 0,1.0,0.0,95.0,100.0,-55.0,-55.0,-55.0
4,BE1 0,1.0,0.0,78.5,10300.0,-15371.5,-15371.5,-15371.5
5,BG1 0,1.0,0.0,203.5,1750.0,-2486.5,-2485.532738095238,-2486.5
6,CH1 0,1.0,0.0,958.5,3000.0,-3541.5,-3541.5,-3541.5
7,CZ1 0,1.0,0.0,168.0,2350.0,-3372.0,-3363.6071428571427,-3372.0
8,DE1 0,1.0,0.0,543.0,115650.0,-172932.0,-172932.0,-172932.0
9,DK1 0,1.0,0.0,15.0,6050.0,-9075.0,-9074.107142857143,-9075.0
10,DK2 0,1.0,0.0,2.5,1300.0,-1950.0,-1949.9627976190477,-1950.0
11,EE6 0,1.0,0.0,0.0,400.0,-600.0,-600.0,-600.0
12,ES1 0,1.0,0.0,1212.0,38550.0,-56613.0,-56613.0,-56613.0
13,ES4 0,1.0,0.0,15.0,350.0,-510.0,-510.0,-510.0
14,FI2 0,1.0,0.0,219.0,3700.0,-5331.0,-5331.0,-5331.0
15,FR1 0,1.0,0.0,1064.5,28800.0,-42135.5,-42135.5,-42135.5
16,GB0 0,1.0,0.0,546.0,35200.0,-52254.0,-52254.0,-52254.0
17,GB5 0,1.0,0.0,17.5,2500.0,-3732.5,-3732.5,-3732.5
18,GR1 0,1.0,0.0,163.0,7300.0,-10787.0,-10787.0,-10787.0
19,HR1 0,1.0,0.0,128.0,800.0,-1087.0,-1086.7767857142858,-1087.0
20,HU1 0,1.0,0.0,83.5,2250.0,-3306.5,-3291.9464285714284,-3291.5
21,IE5 0,1.0,0.0,40.0,4400.0,-6560.0,-6560.0,-6560.0
22,IT1 0,1.0,0.0,932.0,29090.0,-42703.0,-42703.0,-42703.0
23,IT3 0,1.0,0.0,32.5,3500.0,-5235.0,-5234.8735119047615,-5235.0
24,LT6 0,1.0,0.0,65.0,600.0,-835.0,-835.0,-835.0
25,LU1 0,1.0,0.0,132.5,450.0,-545.0,-544.9627976190476,-545.0
26,LV6 0,1.0,0.0,90.0,100.0,-60.0,-60.0,-60.0
27,ME1 0,1.0,0.0,34.5,150.0,-190.5,-190.5,-190.5
28,MK1 0,1.0,0.0,0.0,100.0,-150.0,-150.0,-150.0
29,NL1 0,1.0,0.0,80.0,16700.0,-24970.0,-24970.0,-24970.0
30,NO2 0,1.0,0.0,1478.5,3350.0,-3561.5,-3561.1428571428573,-3561.5
31,PL1 0,1.0,0.0,111.0,10150.0,-15114.0,-15114.0,-15114.0
32,PT1 0,1.0,0.0,364.0,6300.0,-9086.0,-9086.0,-9086.0
33,RO1 0,1.0,0.0,462.0,4350.0,-6063.0,-6063.0,-6063.0
34,RS1 0,1.0,0.0,169.0,400.0,-431.0,-431.0,-431.0
35,SE2 0,1.0,0.0,674.0,11050.0,-15901.0,-15901.0,-15901.0
36,SI1 0,1.0,0.0,137.5,300.0,-327.5,-325.4017857142857,-327.5
37,SK1 0,1.0,0.0,197.0,600.0,-703.0,-703.0,-703.0
1,AL1 0,0.0,0.0,86.5,50.0,11.500000000000014,11.500000000000009,11.500000000000014
