dcline_id,from_bus,to_bus,snapshot,flow_from_side,flow_to_side,pmin,pmax,loading_ratio,sign_loss_consistency
35.0,8.0,35.0,1.0,-700.0,700.0,-700.0,700.0,1.0,1.0
30.0,12.0,15.0,1.0,2200.0,-2200.0,-2200.0,2200.0,1.0,1.0
32.0,16.0,15.0,1.0,1400.0,-1400.0,-1400.0,1400.0,1.0,1.0
6.0,10.0,9.0,1.0,600.0,-600.0,-600.0,600.0,1.0,1.0
4.0,29.0,9.0,1.0,-700.0,700.0,-700.0,700.0,1.0,1.0
13.0,35.0,14.0,1.0,-500.0,500.0,-500.0,500.0,1.0,1.0
12.0,14.0,11.0,1.0,650.0,-650.0,-650.0,650.0,1.0,1.0
23.0,8.0,30.0,1.0,-1400.0,1400.0,-1400.0,1400.0,1.0,1.0
41.0,21.0,16.0,1.0,-500.0,500.0,-500.0,500.0,1.0,1.0
43.0,16.0,4.0,1.0,-1000.0,1000.0,-1000.0,1000.0,1.0,1.0
11.0,16.0,21.0,1.0,500.0,-500.0,-500.0,500.0,1.0,1.0
36.0,30.0,16.0,1.0,1400.0,-1400.0,-1400.0,1400.0,1.0,1.0
39.0,16.0,15.0,1.0,1400.0,-1400.0,-1400.0,1400.0,1.0,1.0
34.0,22.0,6.0,1.0,1000.0,-1000.0,-1000.0,1000.0,1.0,1.0
2.0,8.0,4.0,1.0,-1000.0,1000.0,-1000.0,1000.0,1.0,1.0
27.0,35.0,8.0,1.0,600.0,-600.0,-600.0,600.0,1.0,1.0
10.0,16.0,29.0,1.0,1000.0,-1000.0,-1000.0,1000.0,1.0,1.0
18.0,9.0,30.0,1.0,-1140.0,1140.0,-1140.0,1140.0,1.0,1.0
42.0,21.0,15.0,1.0,700.0,-700.0,-700.0,700.0,1.0,1.0
16.0,24.0,35.0,1.0,-700.0,700.0,-700.0,700.0,1.0,1.0
