carrier,generation,storage_discharge,storage_charge
CCGT,4.7014726126095325e7,0.0,0.0
OCGT,92807.4361879728,0.0,0.0
PHS,0.0,6.214097356668253e6,2.6924064888443276e6
battery_gfl,0.0,0.0,0.0
battery_gfm,0.0,1.4871268e7,1.4871439e7
biomass,4.651901079850676e6,0.0,0.0
geothermal,1880.0,0.0,0.0
hydro,0.0,3.2342726616168655e7,702994.1519832342
nuclear,2.240654160498615e7,0.0,0.0
offwind-ac,198055.30875889928,0.0,0.0
offwind-dc,649216.2172936839,0.0,0.0
onwind,4.927065777653377e6,0.0,0.0
ror,1.6217956505304182e7,0.0,0.0
solar,4.153010002738144e6,0.0,0.0
