snapshot,bus,margin,sigma0_G,battery_gfm_contribution
1.0,24.0,0.0,0.0,55.0
1.0,29.0,0.0,0.0,4930.0
2.0,24.0,0.0,0.0,55.0
2.0,9.0,0.0,0.0,4930.0
2.0,29.0,0.0,0.0,4930.0
3.0,9.0,0.0,0.0,4930.0
3.0,29.0,0.0,0.0,4930.0
4.0,24.0,0.0,0.0,55.0
4.0,9.0,0.0,0.0,4930.0
4.0,29.0,0.0,0.0,4930.0
5.0,24.0,0.0,0.0,55.0
5.0,9.0,0.0,0.0,4930.0
5.0,29.0,0.0,0.0,4930.0
6.0,24.0,0.0,0.0,55.0
6.0,9.0,0.0,0.0,4930.0
6.0,29.0,0.0,0.0,4930.0
7.0,24.0,0.0,0.0,55.0
7.0,11.0,0.0,0.0,75.0
7.0,9.0,0.0,0.0,4930.0
7.0,29.0,0.0,0.0,4930.0
