snapshot,online_gfm_strength,online_gfl_exposure
1.0,15434.0,667.0
2.0,15434.0,558.0
3.0,15439.0,507.0
4.0,15439.0,578.0
5.0,15448.0,668.0
6.0,15448.0,663.0
7.0,15448.0,780.0
8.0,15448.0,802.0
9.0,15448.0,769.0
10.0,15448.0,714.0
11.0,15448.0,753.0
12.0,15448.0,655.0
13.0,15448.0,755.0
14.0,15448.0,790.0
15.0,15448.0,649.0
16.0,15448.0,730.0
17.0,15448.0,786.0
18.0,15448.0,779.0
19.0,15448.0,782.0
20.0,15448.0,746.0
21.0,15448.0,761.0
22.0,15448.0,646.0
23.0,15448.0,677.0
24.0,15448.0,620.0
25.0,15448.0,431.0
26.0,15448.0,373.0
27.0,15448.0,560.0
28.0,15448.0,568.0
29.0,15448.0,346.0
30.0,15448.0,535.0
31.0,15448.0,595.0
32.0,15448.0,572.0
33.0,15448.0,585.0
34.0,15448.0,477.0
35.0,15448.0,621.0
36.0,15448.0,667.0
37.0,15448.0,577.0
38.0,15448.0,678.0
39.0,15448.0,689.0
40.0,15448.0,625.0
41.0,15448.0,505.0
42.0,15448.0,631.0
43.0,15448.0,644.0
44.0,15448.0,633.0
45.0,15448.0,576.0
46.0,15448.0,443.0
47.0,15448.0,742.0
48.0,15448.0,551.0
49.0,15448.0,127.0
50.0,15448.0,575.0
51.0,15448.0,670.0
52.0,15448.0,568.0
53.0,15448.0,532.0
54.0,15448.0,483.0
55.0,15448.0,351.0
56.0,15448.0,330.0
57.0,15448.0,143.0
58.0,15448.0,376.0
59.0,15448.0,614.0
60.0,15448.0,522.0
61.0,15448.0,678.0
62.0,15448.0,614.0
63.0,15448.0,551.0
64.0,15448.0,583.0
65.0,15448.0,489.0
66.0,15448.0,544.0
67.0,15448.0,637.0
68.0,15448.0,722.0
69.0,15448.0,516.0
70.0,15448.0,344.0
71.0,15448.0,732.0
72.0,15448.0,597.0
73.0,15448.0,568.0
74.0,15448.0,562.0
75.0,15448.0,623.0
76.0,15448.0,393.0
77.0,15448.0,615.0
78.0,15448.0,605.0
79.0,15448.0,687.0
80.0,15448.0,719.0
81.0,15448.0,800.0
82.0,15448.0,795.0
83.0,15448.0,718.0
84.0,15448.0,760.0
85.0,15448.0,694.0
86.0,15448.0,698.0
87.0,15448.0,674.0
88.0,15448.0,743.0
89.0,15448.0,712.0
90.0,15448.0,794.0
91.0,15448.0,821.0
92.0,15448.0,748.0
93.0,15448.0,665.0
94.0,15448.0,458.0
95.0,15448.0,661.0
96.0,15448.0,661.0
97.0,15448.0,555.0
98.0,15448.0,631.0
99.0,15448.0,581.0
100.0,15448.0,297.0
101.0,15448.0,611.0
102.0,15448.0,705.0
103.0,15448.0,733.0
104.0,15448.0,777.0
105.0,15448.0,808.0
106.0,15448.0,800.0
107.0,15448.0,799.0
108.0,15448.0,751.0
109.0,15448.0,765.0
110.0,15448.0,731.0
111.0,15448.0,658.0
112.0,15448.0,808.0
113.0,15448.0,786.0
114.0,15448.0,798.0
115.0,15448.0,825.0
116.0,15448.0,770.0
117.0,15448.0,673.0
118.0,15448.0,561.0
119.0,15448.0,469.0
120.0,15448.0,610.0
121.0,15448.0,695.0
122.0,15448.0,523.0
123.0,15448.0,580.0
124.0,15448.0,526.0
125.0,15448.0,676.0
126.0,15448.0,563.0
127.0,15448.0,694.0
128.0,15448.0,837.0
129.0,15448.0,768.0
130.0,15448.0,802.0
131.0,15448.0,730.0
132.0,15448.0,768.0
133.0,15448.0,777.0
134.0,15448.0,800.0
135.0,15448.0,752.0
136.0,15448.0,618.0
137.0,15448.0,693.0
138.0,15448.0,735.0
139.0,15448.0,776.0
140.0,15448.0,650.0
141.0,15448.0,655.0
142.0,15448.0,645.0
143.0,15448.0,689.0
144.0,15448.0,480.0
145.0,15448.0,620.0
146.0,15448.0,305.0
147.0,15448.0,543.0
148.0,15448.0,583.0
149.0,15448.0,708.0
150.0,15448.0,622.0
151.0,15448.0,792.0
152.0,15448.0,800.0
153.0,15448.0,791.0
154.0,15448.0,796.0
155.0,15448.0,673.0
156.0,15448.0,760.0
157.0,15448.0,691.0
158.0,15448.0,721.0
159.0,15448.0,685.0
160.0,15448.0,749.0
161.0,15448.0,770.0
162.0,15448.0,818.0
163.0,15448.0,785.0
164.0,15448.0,755.0
165.0,15448.0,665.0
166.0,15448.0,654.0
167.0,15448.0,550.0
168.0,15448.0,580.0
169.0,15448.0,645.0
170.0,15448.0,489.0
171.0,15448.0,656.0
172.0,15448.0,295.0
173.0,15448.0,547.0
174.0,15448.0,686.0
175.0,15448.0,630.0
176.0,15448.0,670.0
177.0,15448.0,837.0
178.0,15448.0,753.0
179.0,15448.0,706.0
180.0,15448.0,792.0
181.0,15448.0,750.0
182.0,15448.0,507.0
183.0,15448.0,654.0
184.0,15448.0,638.0
185.0,15448.0,548.0
186.0,15448.0,718.0
187.0,15448.0,809.0
188.0,15448.0,784.0
189.0,15448.0,522.0
190.0,15448.0,539.0
191.0,15448.0,641.0
192.0,15448.0,599.0
193.0,15448.0,580.0
194.0,15448.0,496.0
195.0,15448.0,571.0
196.0,15448.0,507.0
197.0,15448.0,417.0
198.0,15448.0,430.0
199.0,15448.0,488.0
200.0,15448.0,681.0
201.0,15448.0,579.0
202.0,15448.0,267.0
203.0,15448.0,638.0
204.0,15448.0,467.0
205.0,15448.0,586.0
206.0,15448.0,294.0
207.0,15448.0,533.0
208.0,15448.0,469.0
209.0,15448.0,627.0
210.0,15448.0,766.0
211.0,15448.0,617.0
212.0,15448.0,590.0
213.0,15448.0,433.0
214.0,15448.0,563.0
215.0,15448.0,460.0
216.0,15448.0,506.0
217.0,15448.0,520.0
218.0,15448.0,441.0
219.0,15448.0,556.0
220.0,15448.0,536.0
221.0,15448.0,179.0
222.0,15448.0,528.0
223.0,15448.0,313.0
224.0,15448.0,638.0
225.0,15448.0,387.0
226.0,15448.0,580.0
