scenario_name,bus_id,bus_name,latitude,longitude,binding_frequency_beta,mean_kappa,min_kappa,BESS_GFM_GW,GFM_strength_installed,GFL_exposure_peak,RES_GW,note
gSCR-GERSH-1p0-INTEGER,31,PL1 0,,,0.9821428571428571,-2448.1071428571427,-2599.0,100.0,5201.0,5200.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,15,FR1 0,,,0.8898809523809523,-2777.0178571428573,-4148.0,99.1,8302.0,8300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,29,NL1 0,,,0.8184523809523809,-1197.142857142857,-2750.0,99.1,5500.0,5500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,23,IT3 0,,,0.7946428571428571,-76.07142857142857,-172.5,6.1,352.5,350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,8,DE1 0,,,0.75,-875.125,-3397.0,95.0,6803.0,6800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,32,PT1 0,,,0.75,-60.50892857142857,-221.0,0.0,454.0,450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,14,FI2 0,,,0.6428571428571429,5.517857142857143,-223.5,0.6,451.5,450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,25,LU1 0,,,0.6369047619047619,9.196428571428571,-72.5,0.4,152.5,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,16,GB0 0,,,0.6220238095238095,125.49404761904762,-1296.5,0.6,2603.5,2600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,4,BE1 0,,,0.6041666666666666,26.669642857142858,-149.0,0.0,301.0,300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,12,ES1 0,,,0.5952380952380952,242.5654761904762,-953.0,0.0,2047.0,2000.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,24,LT6 0,,,0.5803571428571429,12.723214285714286,-50.0,0.1,100.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,6,CH1 0,,,0.5654761904761905,167.5625,-571.5,1.0,1153.5,1150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,2,AT1 0,,,0.5595238095238095,144.1875,-448.0,1.0,902.0,900.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,21,IE5 0,,,0.5565476190476191,28.214285714285715,-120.0,0.4,255.0,250.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,22,IT1 0,,,0.5178571428571429,644.6190476190476,-1448.0,0.3,2902.0,2900.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,33,RO1 0,,,0.5119047619047619,116.28571428571429,-248.0,0.8,502.0,500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,35,SE2 0,,,0.5,240.33928571428572,-521.0,0.2,1054.0,1050.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,7,CZ1 0,,,0.49404761904761907,107.91071428571429,-172.0,0.5,353.0,350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,20,HU1 0,,,0.49107142857142855,42.3392857142857,-71.50000000000003,0.2,153.5,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,37,SK1 0,,,0.48214285714285715,64.94642857142857,-123.0,0.8,252.0,250.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,27,ME1 0,,,0.44345238095238093,21.241071428571427,-20.5,0.4,54.5,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,34,RS1 0,,,0.41964285714285715,67.16964285714285,-96.00000000000003,0.7,204.0,200.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,5,BG1 0,,,0.39880952380952384,102.60714285714286,-121.5,1.0,253.5,250.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,19,HR1 0,,,0.36607142857142855,65.94642857142857,-72.0,0.5,153.0,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,36,SI1 0,,,0.3482142857142857,67.14285714285714,-72.5,0.3,152.5,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,18,GR1 0,,,0.3333333333333333,223.89285714285714,-222.0,1.9,453.0,450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,10,DK2 0,,,0.30357142857142855,56.74107142857143,-47.5,1.4,102.5,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,26,LV6 0,,,0.26785714285714285,81.25,-75.0,0.6,150.0,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,30,NO2 0,,,0.25595238095238093,892.25,-746.5,0.5,1503.5,1500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,3,BA1 0,,,0.2261904761904762,54.24107142857143,-50.0,0.1,100.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,1,AL1 0,,,0.17857142857142858,74.49107142857144,-48.499999999999986,0.3,101.5,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,11,EE6 0,,,0.14583333333333334,44.0625,-20.0,1.1,55.0,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,28,MK1 0,,,0.08035714285714286,43.973214285714285,-25.0,1.0,50.0,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,9,DK1 0,,,0.06547619047619048,45.089285714285715,-25.0,0.6,50.0,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,17,GB5 0,,,0.002976190476190476,69.77678571428571,-47.5,1.1,102.5,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
