carrier,generation,storage_discharge,storage_charge
CCGT,1.5151201299982504e6,0.0,0.0
OCGT,99600.0,0.0,0.0
PHS,0.0,4.382987333296786e6,311929.03146883
battery_gfl,0.0,0.0,0.0
battery_gfm,0.0,0.0,0.0
biomass,91435.0482143609,0.0,0.0
geothermal,13240.0,0.0,0.0
hydro,0.0,3.0040362445904795e7,2.702496325475433e6
nuclear,3.6827316772154416e6,0.0,0.0
offwind-ac,2.393916161628186e6,0.0,0.0
offwind-dc,4.519229595436394e6,0.0,0.0
onwind,4.1068327547614e7,0.0,0.0
ror,1.4840857419467634e7,0.0,0.0
solar,3.584103038904702e7,0.0,0.0
