snapshot,mu_t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_rG,min_kappa,median_kappa,min_kappa_bus,binding_node_count,violating_node_count,total_GFL_exposure,total_GFM_strength,local_relative_slack_min,gershgorin_conservatism_gap
1.0,-172400.6820610884,-172400.6820610884,0.00574312780527556,-0.9961712481298163,-172932.0,-3546.5,8.0,36.0,36.0,357390.0,11240.5,-115288.0,172930.5057431278
2.0,-172400.6820610884,-172400.6820610884,0.00574312780527556,-0.9961712481298163,-172932.0,-3546.5,8.0,36.0,36.0,357390.0,11240.5,-115288.0,172930.5057431278
3.0,-172400.68206108833,-172400.68206108833,0.004999999999999889,-0.9966666666666667,-172932.0,-3546.5,8.0,36.0,36.0,357390.0,11225.5,-115288.0,172930.505
4.0,-172400.68206108833,-172400.68206108833,0.004999999999999889,-0.9966666666666667,-172932.0,-3546.5,8.0,36.0,36.0,357390.0,11225.5,-115288.0,172930.505
5.0,-172400.68206108833,-172400.68206108833,0.004999999999999889,-0.9966666666666667,-172932.0,-3546.5,8.0,36.0,36.0,357390.0,11225.5,-115288.0,172930.505
6.0,-172400.68206118426,-172400.68206118426,0.004285714285714293,-0.9971428571428572,-172932.0,-3546.5,8.0,36.0,36.0,357390.0,11138.0,-115288.0,172930.5042857143
7.0,-172400.68206118426,-172400.68206118426,0.004285714285714293,-0.9971428571428572,-172932.0,-3546.5,8.0,36.0,36.0,357390.0,11138.0,-115288.0,172930.5042857143
8.0,-172400.68206118426,-172400.68206118426,0.004285714285714293,-0.9971428571428572,-172932.0,-3546.5,8.0,36.0,36.0,357390.0,11138.0,-115288.0,172930.5042857143
9.0,-172400.68206118426,-172400.68206118426,0.00428571428571435,-0.997142857142857,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11123.0,-115288.0,172930.5042857143
10.0,-172400.68206118426,-172400.68206118426,0.00428571428571435,-0.997142857142857,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11123.0,-115288.0,172930.5042857143
