scenario_name,bus_id,bus_name,latitude,longitude,binding_frequency_beta,mean_kappa,min_kappa,BESS_GFM_GW,GFM_strength_installed,GFL_exposure_peak,RES_GW,note
BASE-INTEGER,2,AT1 0,,,1.0,-7458.0,-7458.0,0.0,642.0,5400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,3,BA1 0,,,1.0,-55.0,-55.0,0.0,95.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,4,BE1 0,,,1.0,-15371.5,-15371.5,0.0,78.5,10300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,5,BG1 0,,,1.0,-2485.532738095238,-2486.5,0.0,203.5,1750.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,6,CH1 0,,,1.0,-3541.5,-3541.5,0.0,958.5,3000.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,7,CZ1 0,,,1.0,-3363.6071428571427,-3372.0,0.0,168.0,2350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,8,DE1 0,,,1.0,-172932.0,-172932.0,0.0,543.0,115650.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,9,DK1 0,,,1.0,-9074.107142857143,-9075.0,0.0,15.0,6050.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,10,DK2 0,,,1.0,-1949.9627976190477,-1950.0,0.0,2.5,1300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,11,EE6 0,,,1.0,-600.0,-600.0,0.0,0.0,400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,12,ES1 0,,,1.0,-56613.0,-56613.0,0.0,1212.0,38550.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,13,ES4 0,,,1.0,-510.0,-510.0,0.0,15.0,350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,14,FI2 0,,,1.0,-5331.0,-5331.0,0.0,219.0,3700.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,15,FR1 0,,,1.0,-42135.5,-42135.5,0.0,1064.5,28800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,16,GB0 0,,,1.0,-52254.0,-52254.0,0.0,546.0,35200.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,17,GB5 0,,,1.0,-3732.5,-3732.5,0.0,17.5,2500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,18,GR1 0,,,1.0,-10787.0,-10787.0,0.0,163.0,7300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,19,HR1 0,,,1.0,-1086.7767857142858,-1087.0,0.0,128.0,800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,20,HU1 0,,,1.0,-3291.9464285714284,-3306.5,0.0,83.5,2250.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,21,IE5 0,,,1.0,-6560.0,-6560.0,0.0,40.0,4400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,22,IT1 0,,,1.0,-42703.0,-42703.0,0.0,932.0,29090.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,23,IT3 0,,,1.0,-5234.8735119047615,-5235.0,0.0,32.5,3500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,24,LT6 0,,,1.0,-835.0,-835.0,0.0,65.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,25,LU1 0,,,1.0,-544.9627976190476,-545.0,0.0,132.5,450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,26,LV6 0,,,1.0,-60.0,-60.0,0.0,90.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,27,ME1 0,,,1.0,-190.5,-190.5,0.0,34.5,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,28,MK1 0,,,1.0,-150.0,-150.0,0.0,0.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,29,NL1 0,,,1.0,-24970.0,-24970.0,0.0,80.0,16700.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,30,NO2 0,,,1.0,-3561.1428571428573,-3561.5,0.0,1478.5,3350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,31,PL1 0,,,1.0,-15114.0,-15114.0,0.0,111.0,10150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,32,PT1 0,,,1.0,-9086.0,-9086.0,0.0,364.0,6300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE-INTEGER,33,RO1 0,,,1.0,-6063.0,-6063.0,0.0,462.0,4350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
