scenario_name,t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_r_t,min_local_kappa,median_local_kappa,number_binding_nodes,number_violating_nodes_if_any,total_GFL_exposure,total_GFM_strength
BASE-INTEGER,1.0,-172400.6820610884,0.00574312780527556,-0.9961712481298163,-172932.0,-3546.5,36.0,36.0,357390.0,11240.5
BASE-INTEGER,2.0,-172400.6820610884,0.00574312780527556,-0.9961712481298163,-172932.0,-3546.5,36.0,36.0,357390.0,11240.5
BASE-INTEGER,3.0,-172400.68206108833,0.004999999999999889,-0.9966666666666667,-172932.0,-3546.5,36.0,36.0,357390.0,11225.5
BASE-INTEGER,4.0,-172400.68206108833,0.004999999999999889,-0.9966666666666667,-172932.0,-3546.5,36.0,36.0,357390.0,11225.5
BASE-INTEGER,5.0,-172400.68206108833,0.004999999999999889,-0.9966666666666667,-172932.0,-3546.5,36.0,36.0,357390.0,11225.5
BASE-INTEGER,6.0,-172400.68206118426,0.004285714285714293,-0.9971428571428572,-172932.0,-3546.5,36.0,36.0,357390.0,11138.0
BASE-INTEGER,7.0,-172400.68206118426,0.004285714285714293,-0.9971428571428572,-172932.0,-3546.5,36.0,36.0,357390.0,11138.0
BASE-INTEGER,8.0,-172400.68206118426,0.004285714285714293,-0.9971428571428572,-172932.0,-3546.5,36.0,36.0,357390.0,11138.0
BASE-INTEGER,9.0,-172400.68206118426,0.00428571428571435,-0.997142857142857,-172932.0,-3561.5,36.0,36.0,357390.0,11123.0
BASE-INTEGER,10.0,-172400.68206118426,0.00428571428571435,-0.997142857142857,-172932.0,-3561.5,36.0,36.0,357390.0,11123.0
BASE-INTEGER,11.0,-172400.68206118426,0.00428571428571435,-0.997142857142857,-172932.0,-3561.5,36.0,36.0,357390.0,11123.0
BASE-INTEGER,12.0,-172400.68206118426,0.00428571428571435,-0.997142857142857,-172932.0,-3561.5,36.0,36.0,357390.0,11123.0
BASE-INTEGER,13.0,-172400.68206118426,0.00428571428571435,-0.997142857142857,-172932.0,-3561.5,36.0,36.0,357390.0,11123.0
