snapshot,online_gfm_strength,online_gfl_exposure
1.0,6288.539730476085,120.47873919819254
2.0,6908.295028344293,128.85873919819255
3.0,7012.133181806079,132.97692080829174
4.0,7139.133181806079,138.87192080829175
5.0,7147.133181806079,151.75321855046803
6.0,7243.727753164747,222.2296581203465
7.0,7350.487515209663,222.32469124010382
8.0,7367.497515209663,270.8961695433479
9.0,7399.606689943057,301.38174573722256
10.0,7422.469084667934,332.70792016580833
11.0,7422.469084667934,333.55792016580835
12.0,7407.361267519017,332.0471384509166
13.0,7407.361267519017,332.0471384509166
14.0,7407.361267519017,333.11392372106
15.0,7407.361267519017,333.43175977835097
16.0,7407.361267519017,333.43175977835097
17.0,7407.361267519017,352.101759778351
18.0,7423.113029457764,353.67693597222564
19.0,7416.594785785161,353.0251116049654
20.0,7407.357267519017,352.10135977835097
21.0,7407.357267519017,352.10135977835097
22.0,7407.357267519017,352.10135977835097
23.0,7407.357267519017,352.10135977835097
24.0,7406.357267519017,352.10135977835097
