snapshot,bus,margin,sigma0_G,battery_gfm_contribution
14.0,35.0,-3.410605131648481e-13,0.0,0.0
12.0,14.0,-2.2737367544323206e-13,0.0,0.0
13.0,14.0,-2.2737367544323206e-13,0.0,0.0
14.0,14.0,-2.2737367544323206e-13,0.0,0.0
15.0,14.0,-2.2737367544323206e-13,0.0,0.0
16.0,14.0,-1.7053025658242404e-13,0.0,0.0
2.0,35.0,-1.1368683772161603e-13,0.0,0.0
3.0,35.0,-1.1368683772161603e-13,0.0,0.0
4.0,35.0,-1.1368683772161603e-13,0.0,0.0
12.0,35.0,-1.1368683772161603e-13,0.0,0.0
13.0,35.0,-1.1368683772161603e-13,0.0,0.0
15.0,35.0,-1.1368683772161603e-13,0.0,0.0
16.0,35.0,-1.1368683772161603e-13,0.0,0.0
17.0,35.0,-1.1368683772161603e-13,0.0,0.0
18.0,35.0,-1.1368683772161603e-13,0.0,0.0
23.0,35.0,-1.1368683772161603e-13,0.0,0.0
24.0,35.0,-1.1368683772161603e-13,0.0,0.0
18.0,23.0,-5.684341886080802e-14,0.0,212.05761938746946
21.0,4.0,-5.684341886080802e-14,0.0,0.0
1.0,23.0,-7.105427357601002e-15,0.0,0.0
