snapshot,mu_t,gSCR_t,relative_margin_rG,min_kappa,min_kappa_bus,binding_node_count,local_relative_slack_min,gershgorin_conservatism_gap
1.0,-1.3600175547900507e-13,1.9999999999999984,-7.771561172376096e-16,-7.105427357601002e-15,23.0,24.0,-3.552713678800501e-15,5.551115123125783e-15
2.0,-1.5176925118471766e-13,1.9999999999999971,-1.4432899320127035e-15,-1.1368683772161603e-13,35.0,26.0,-5.684341886080802e-14,1.1080025785759062e-13
3.0,-3.1144166046477717e-14,1.9999999999999987,-6.661338147750939e-16,-1.1368683772161603e-13,35.0,25.0,-5.684341886080802e-14,1.1235457009206584e-13
4.0,-2.1129728546523103e-13,1.9999999999999991,-4.440892098500626e-16,-1.1368683772161603e-13,35.0,26.0,-5.684341886080802e-14,1.127986593019159e-13
5.0,-5.168089389957561e-14,1.9999999999999973,-1.3322676295501878e-15,-7.105427357601002e-15,23.0,28.0,-3.552713678800501e-15,4.440892098500626e-15
6.0,-1.93242269974923e-14,1.9999999999999996,-2.220446049250313e-16,-7.105427357601002e-15,27.0,31.0,-3.552713678800501e-15,6.661338147750939e-15
7.0,-5.930848229412185e-14,2.000000000000001,4.440892098500626e-16,-7.105427357601002e-15,27.0,28.0,-3.552713678800501e-15,7.993605777301127e-15
8.0,-3.797729835178469e-14,2.000000000000002,1.1102230246251565e-15,-7.105427357601002e-15,27.0,29.0,-3.552713678800501e-15,9.325873406851315e-15
9.0,-9.453061324346758e-14,2.0000000000000004,2.220446049250313e-16,-7.105427357601002e-15,27.0,32.0,-3.552713678800501e-15,7.549516567451064e-15
10.0,-8.843370053293239e-14,1.9999999999999991,-4.440892098500626e-16,0.0,5.0,34.0,0.0,-8.881784197001252e-16
11.0,-5.0925513614777255e-14,1.9999999999999987,-6.661338147750939e-16,-7.105427357601002e-15,27.0,33.0,-3.552713678800501e-15,5.773159728050814e-15
12.0,-4.3032827825976366e-14,1.9999999999999976,-1.2212453270876722e-15,-2.2737367544323206e-13,14.0,33.0,-1.1368683772161603e-13,2.2493118478905672e-13
13.0,-6.761310570425606e-15,1.9999999999999996,-2.220446049250313e-16,-2.2737367544323206e-13,14.0,32.0,-1.1368683772161603e-13,2.26929586233382e-13
14.0,-5.981864691281002e-14,1.9999999999999984,-7.771561172376096e-16,-3.410605131648481e-13,35.0,33.0,-1.7053025658242404e-13,3.3950620093037287e-13
15.0,-1.1157459834059364e-13,1.999999999999998,-9.992007221626409e-16,-2.2737367544323206e-13,14.0,34.0,-1.1368683772161603e-13,2.2537527399890678e-13
16.0,-1.579867173689699e-13,1.999999999999998,-9.992007221626409e-16,-1.7053025658242404e-13,14.0,34.0,-8.526512829121202e-14,1.6853185513809876e-13
17.0,-6.716324825655367e-14,1.9999999999999982,-8.881784197001252e-16,-1.1368683772161603e-13,35.0,35.0,-5.684341886080802e-14,1.1191048088221578e-13
18.0,-1.32475470167172e-13,1.9999999999999973,-1.3322676295501878e-15,-1.1368683772161603e-13,35.0,36.0,-5.684341886080802e-14,1.1102230246251565e-13
19.0,-1.216667958901202e-13,1.9999999999999991,-4.440892098500626e-16,0.0,5.0,36.0,0.0,-8.881784197001252e-16
20.0,-1.216667958901202e-13,1.9999999999999984,-7.771561172376096e-16,0.0,5.0,36.0,0.0,-1.5543122344752192e-15
21.0,-4.323381087766855e-14,1.9999999999999967,-1.6653345369377348e-15,-5.684341886080802e-14,4.0,36.0,-2.842170943040401e-14,5.3512749786932545e-14
22.0,-1.216667958901202e-13,1.9999999999999976,-1.2212453270876722e-15,0.0,5.0,36.0,0.0,-2.4424906541753444e-15
23.0,-6.055222586968816e-14,1.9999999999999976,-1.2212453270876722e-15,-1.1368683772161603e-13,35.0,36.0,-5.684341886080802e-14,1.1124434706744069e-13
24.0,-1.3018255323067668e-13,1.999999999999998,-9.992007221626409e-16,-1.1368683772161603e-13,35.0,36.0,-5.684341886080802e-14,1.1168843627729075e-13
