scenario,bus,region_name,beta_i,gfm_bess_capacity_GW,latitude,longitude
H_24h_gmin_0p0,4,BE1 0,1.0,0.0,,
H_24h_gmin_0p0,5,BG1 0,1.0,0.0,,
H_24h_gmin_0p0,7,CZ1 0,1.0,0.0,,
H_24h_gmin_0p0,8,DE1 0,1.0,0.0,,
H_24h_gmin_0p0,9,DK1 0,1.0,0.0,,
H_24h_gmin_0p0,10,DK2 0,1.0,0.0,,
H_24h_gmin_0p0,11,EE6 0,1.0,0.0,,
H_24h_gmin_0p0,12,ES1 0,1.0,0.0,,
H_24h_gmin_0p0,13,ES4 0,1.0,0.0,,
H_24h_gmin_0p0,14,FI2 0,1.0,0.0,,
H_24h_gmin_0p0,15,FR1 0,1.0,0.0,,
H_24h_gmin_0p0,16,GB0 0,1.0,0.0,,
H_24h_gmin_0p0,17,GB5 0,1.0,0.0,,
H_24h_gmin_0p0,18,GR1 0,1.0,0.0,,
H_24h_gmin_0p0,20,HU1 0,1.0,0.0,,
H_24h_gmin_0p0,21,IE5 0,1.0,0.0,,
H_24h_gmin_0p0,23,IT3 0,1.0,0.0,,
H_24h_gmin_0p0,24,LT6 0,1.0,0.0,,
H_24h_gmin_0p0,25,LU1 0,1.0,0.0,,
H_24h_gmin_0p0,26,LV6 0,1.0,0.0,,
H_24h_gmin_0p0,27,ME1 0,1.0,0.0,,
H_24h_gmin_0p0,28,MK1 0,1.0,0.0,,
H_24h_gmin_0p0,29,NL1 0,1.0,0.0,,
H_24h_gmin_0p0,31,PL1 0,1.0,0.0,,
H_24h_gmin_0p0,32,PT1 0,1.0,0.0,,
H_24h_gmin_0p0,36,SI1 0,1.0,0.0,,
H_24h_gmin_0p0,37,SK1 0,1.0,0.0,,
H_24h_gmin_0p0,35,SE2 0,0.9583333333333334,0.0,,
H_24h_gmin_0p0,22,IT1 0,0.8333333333333334,0.0,,
H_24h_gmin_0p0,2,AT1 0,0.7916666666666666,0.0,,
H_24h_gmin_0p0,6,CH1 0,0.6666666666666666,0.0,,
H_24h_gmin_0p0,33,RO1 0,0.6666666666666666,0.0,,
H_24h_gmin_0p0,1,AL1 0,0.0,0.0,,
H_24h_gmin_0p0,3,BA1 0,0.0,0.0,,
H_24h_gmin_0p0,19,HR1 0,0.0,0.0,,
H_24h_gmin_0p0,30,NO2 0,0.0,0.0,,
H_24h_gmin_0p0,34,RS1 0,0.0,0.0,,
H_24h_gmin_1p0,4,BE1 0,1.0,0.0,,
H_24h_gmin_1p0,9,DK1 0,1.0,0.0,,
H_24h_gmin_1p0,10,DK2 0,1.0,0.0,,
H_24h_gmin_1p0,11,EE6 0,1.0,0.0,,
H_24h_gmin_1p0,17,GB5 0,1.0,0.0,,
H_24h_gmin_1p0,20,HU1 0,1.0,0.0,,
H_24h_gmin_1p0,24,LT6 0,1.0,0.0,,
H_24h_gmin_1p0,25,LU1 0,1.0,0.0,,
H_24h_gmin_1p0,27,ME1 0,1.0,0.0,,
H_24h_gmin_1p0,28,MK1 0,1.0,0.0,,
H_24h_gmin_1p0,29,NL1 0,1.0,0.0,,
H_24h_gmin_1p0,23,IT3 0,0.9583333333333334,1.5755761938746946,,
H_24h_gmin_1p0,35,SE2 0,0.9166666666666666,0.0,,
H_24h_gmin_1p0,7,CZ1 0,0.875,0.0,,
H_24h_gmin_1p0,13,ES4 0,0.875,0.0,,
H_24h_gmin_1p0,14,FI2 0,0.875,0.0,,
H_24h_gmin_1p0,8,DE1 0,0.8333333333333334,0.0,,
H_24h_gmin_1p0,16,GB0 0,0.8333333333333334,0.0,,
H_24h_gmin_1p0,18,GR1 0,0.8333333333333334,0.0,,
H_24h_gmin_1p0,37,SK1 0,0.8333333333333334,0.0,,
H_24h_gmin_1p0,15,FR1 0,0.7916666666666666,0.0,,
H_24h_gmin_1p0,32,PT1 0,0.75,0.0,,
H_24h_gmin_1p0,12,ES1 0,0.7083333333333334,0.0,,
H_24h_gmin_1p0,31,PL1 0,0.7083333333333334,0.0,,
H_24h_gmin_1p0,6,CH1 0,0.6666666666666666,0.0,,
H_24h_gmin_1p0,22,IT1 0,0.6666666666666666,0.0,,
H_24h_gmin_1p0,33,RO1 0,0.6666666666666666,0.0,,
H_24h_gmin_1p0,36,SI1 0,0.6666666666666666,0.0,,
H_24h_gmin_1p0,21,IE5 0,0.5,0.0,,
H_24h_gmin_1p0,5,BG1 0,0.4583333333333333,0.0,,
H_24h_gmin_1p0,19,HR1 0,0.4583333333333333,0.0,,
H_24h_gmin_1p0,2,AT1 0,0.3333333333333333,0.0,,
H_24h_gmin_1p0,34,RS1 0,0.3333333333333333,0.0,,
H_24h_gmin_1p0,1,AL1 0,0.0,0.0,,
H_24h_gmin_1p0,3,BA1 0,0.0,0.0,,
H_24h_gmin_1p0,26,LV6 0,0.0,0.0,,
H_24h_gmin_1p0,30,NO2 0,0.0,0.0,,
H_24h_gmin_2p0,1,AL1 0,1.0,0.0,,
H_24h_gmin_2p0,3,BA1 0,1.0,0.0,,
H_24h_gmin_2p0,4,BE1 0,1.0,0.0,,
H_24h_gmin_2p0,9,DK1 0,1.0,0.0,,
H_24h_gmin_2p0,10,DK2 0,1.0,0.0,,
H_24h_gmin_2p0,11,EE6 0,1.0,0.0,,
H_24h_gmin_2p0,14,FI2 0,1.0,0.0,,
H_24h_gmin_2p0,17,GB5 0,1.0,0.0,,
H_24h_gmin_2p0,19,HR1 0,1.0,0.0,,
H_24h_gmin_2p0,20,HU1 0,1.0,0.0,,
H_24h_gmin_2p0,24,LT6 0,1.0,0.0,,
H_24h_gmin_2p0,25,LU1 0,1.0,0.0,,
H_24h_gmin_2p0,26,LV6 0,1.0,0.0,,
H_24h_gmin_2p0,27,ME1 0,1.0,0.0,,
H_24h_gmin_2p0,28,MK1 0,1.0,0.0,,
H_24h_gmin_2p0,29,NL1 0,1.0,0.0,,
H_24h_gmin_2p0,32,PT1 0,1.0,0.0,,
H_24h_gmin_2p0,33,RO1 0,0.9583333333333334,0.0,,
H_24h_gmin_2p0,5,BG1 0,0.9166666666666666,0.0,,
H_24h_gmin_2p0,15,FR1 0,0.9166666666666666,0.0,,
H_24h_gmin_2p0,16,GB0 0,0.9166666666666666,0.0,,
H_24h_gmin_2p0,21,IE5 0,0.9166666666666666,0.0,,
H_24h_gmin_2p0,23,IT3 0,0.9166666666666666,4.2411523877493895,,
H_24h_gmin_2p0,35,SE2 0,0.9166666666666666,0.0,,
H_24h_gmin_2p0,36,SI1 0,0.9166666666666666,0.0,,
H_24h_gmin_2p0,6,CH1 0,0.8333333333333334,0.0,,
H_24h_gmin_2p0,37,SK1 0,0.8333333333333334,0.0,,
H_24h_gmin_2p0,12,ES1 0,0.7916666666666666,0.0,,
H_24h_gmin_2p0,18,GR1 0,0.7916666666666666,0.0,,
H_24h_gmin_2p0,34,RS1 0,0.7916666666666666,0.0,,
H_24h_gmin_2p0,31,PL1 0,0.75,0.0,,
H_24h_gmin_2p0,8,DE1 0,0.7083333333333334,0.0,,
H_24h_gmin_2p0,13,ES4 0,0.7083333333333334,0.0,,
H_24h_gmin_2p0,22,IT1 0,0.6666666666666666,0.0,,
H_24h_gmin_2p0,7,CZ1 0,0.4166666666666667,0.0,,
H_24h_gmin_2p0,2,AT1 0,0.375,0.0,,
H_24h_gmin_2p0,30,NO2 0,0.0,0.0,,
