scenario,snapshot,mu_t,gSCR_t,relative_margin_rG,local_relative_slack_min,gershgorin_conservatism_gap
H_24h_gmin_0p0,1.0,-60112.74088191152,0.010515100799026025,-0.9894848992009739,-60643.5,60642.510515100796
H_24h_gmin_0p0,2.0,-60112.740797446415,0.010515100799026062,-0.9894848992009739,-60643.5,60642.510515100796
H_24h_gmin_0p0,3.0,-60112.74086058007,0.010515100799026062,-0.9894848992009739,-60643.5,60642.510515100796
H_24h_gmin_0p0,4.0,-60112.75787617087,0.010515100799026032,-0.9894848992009739,-60643.5,60642.510515100796
H_24h_gmin_0p0,5.0,-60112.77230022989,0.0101166919814462,-0.9898833080185538,-60643.5,60642.510116691985
H_24h_gmin_0p0,6.0,-60112.77960806698,0.010116691981446177,-0.9898833080185538,-60643.5,60642.510116691985
H_24h_gmin_0p0,7.0,-82087.3834779097,0.010071619065633877,-0.9899283809343661,-82618.36349674014,82617.37356835921
H_24h_gmin_0p0,8.0,-82087.38658726387,0.010001654906728993,-0.989998345093271,-82618.36349674014,82617.37349839506
H_24h_gmin_0p0,9.0,-82087.39812995939,0.009995526621545391,-0.9900044733784547,-82618.36349674014,82617.37349226676
H_24h_gmin_0p0,10.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,82617.37349256089
H_24h_gmin_0p0,11.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,82617.37349256089
H_24h_gmin_0p0,12.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,82617.37349256089
H_24h_gmin_0p0,13.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,82617.37349256089
H_24h_gmin_0p0,14.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,82617.37349256089
H_24h_gmin_0p0,15.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,82617.37349256089
H_24h_gmin_0p0,16.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,82617.37349256089
H_24h_gmin_0p0,17.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,82617.37349256089
H_24h_gmin_0p0,18.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,82617.37349256089
H_24h_gmin_0p0,19.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,82617.37349256089
H_24h_gmin_0p0,20.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,82617.37349256089
H_24h_gmin_0p0,21.0,-82102.39799733783,0.009833047979191892,-0.9901669520208081,-82633.36349674014,82632.37332978813
H_24h_gmin_0p0,22.0,-82117.39786476237,0.009669771597605641,-0.9903302284023944,-82648.36349674014,82647.37316651174
H_24h_gmin_0p0,23.0,-82117.39786476237,0.009669771597605641,-0.9903302284023944,-82648.36349674014,82647.37316651174
H_24h_gmin_0p0,24.0,-82117.3978647503,0.00966979980026891,-0.9903302001997311,-82648.36349674014,82647.37316653994
H_24h_gmin_1p0,1.0,-1.2766633157748863e-13,1.0,0.0,-2.842170943040401e-14,2.842170943040401e-14
H_24h_gmin_1p0,2.0,3.015097515974578e-14,1.0,0.0,-2.842170943040401e-14,2.842170943040401e-14
H_24h_gmin_1p0,3.0,-1.8696830489530771e-13,0.9999999999999996,-4.440892098500626e-16,-2.842170943040401e-14,2.7977620220553945e-14
H_24h_gmin_1p0,4.0,-9.76488918547004e-14,0.9999999999999999,-1.1102230246251565e-16,-2.842170943040401e-14,2.8310687127941492e-14
H_24h_gmin_1p0,5.0,-2.0295576305718862e-13,1.0000000000000004,4.440892098500626e-16,-2.842170943040401e-14,2.886579864025407e-14
H_24h_gmin_1p0,6.0,-7.039321954000482e-14,1.0,0.0,-2.842170943040401e-14,2.842170943040401e-14
H_24h_gmin_1p0,7.0,-3.042851353264479e-14,0.999999999999996,-3.9968028886505635e-15,-2.842170943040401e-14,2.4424906541753444e-14
H_24h_gmin_1p0,8.0,-2.466697568290812e-13,1.0000000000000007,6.661338147750939e-16,-2.842170943040401e-14,2.90878432451791e-14
H_24h_gmin_1p0,9.0,-4.31574046588327e-14,0.9999999999999996,-4.440892098500626e-16,-2.842170943040401e-14,2.7977620220553945e-14
H_24h_gmin_1p0,10.0,-1.2232466428481898e-16,0.9999999999999999,-1.1102230246251565e-16,-2.842170943040401e-14,2.8310687127941492e-14
H_24h_gmin_1p0,11.0,-1.603597648917174e-13,0.9999999999999998,-2.220446049250313e-16,-2.842170943040401e-14,2.8199664825478976e-14
H_24h_gmin_1p0,12.0,-1.0720801928902974e-13,0.9999999999999998,-2.220446049250313e-16,-2.842170943040401e-14,2.8199664825478976e-14
H_24h_gmin_1p0,13.0,-1.0720801928902974e-13,0.9999999999999998,-2.220446049250313e-16,-2.842170943040401e-14,2.8199664825478976e-14
H_24h_gmin_1p0,14.0,-8.3659777022688e-14,0.9999999999999992,-7.771561172376096e-16,-2.842170943040401e-14,2.7644553313166398e-14
H_24h_gmin_1p0,15.0,-9.062601592803905e-14,0.9999999999999984,-1.5543122344752192e-15,-2.842170943040401e-14,2.6867397195928788e-14
H_24h_gmin_1p0,16.0,-9.062601592803905e-14,0.9999999999999984,-1.5543122344752192e-15,-2.842170943040401e-14,2.6867397195928788e-14
H_24h_gmin_1p0,17.0,-9.489964786830175e-14,0.9999999999999997,-3.3306690738754696e-16,-2.842170943040401e-14,2.808864252301646e-14
H_24h_gmin_1p0,18.0,-8.99997698641514e-14,0.9999999999999997,-3.3306690738754696e-16,-2.842170943040401e-14,2.808864252301646e-14
H_24h_gmin_1p0,19.0,-1.2099385219510091e-13,0.9999999999999986,-1.4432899320127035e-15,0.0,-1.4432899320127035e-15
H_24h_gmin_1p0,20.0,-1.2099385219510091e-13,0.9999999999999986,-1.4432899320127035e-15,0.0,-1.4432899320127035e-15
H_24h_gmin_1p0,21.0,-1.2099385219510091e-13,0.9999999999999986,-1.4432899320127035e-15,0.0,-1.4432899320127035e-15
H_24h_gmin_1p0,22.0,-1.2099385219510091e-13,0.9999999999999986,-1.4432899320127035e-15,0.0,-1.4432899320127035e-15
H_24h_gmin_1p0,23.0,-1.0577605493411347e-13,1.0000000000000002,2.220446049250313e-16,-7.105427357601002e-15,7.327471962526033e-15
H_24h_gmin_1p0,24.0,-9.160504559043827e-14,0.9999999999999996,-4.440892098500626e-16,0.0,-4.440892098500626e-16
H_24h_gmin_2p0,1.0,-1.3600175547900507e-13,1.9999999999999984,-7.771561172376096e-16,-3.552713678800501e-15,5.551115123125783e-15
H_24h_gmin_2p0,2.0,-1.5176925118471766e-13,1.9999999999999971,-1.4432899320127035e-15,-5.684341886080802e-14,1.1080025785759062e-13
H_24h_gmin_2p0,3.0,-3.1144166046477717e-14,1.9999999999999987,-6.661338147750939e-16,-5.684341886080802e-14,1.1235457009206584e-13
H_24h_gmin_2p0,4.0,-2.1129728546523103e-13,1.9999999999999991,-4.440892098500626e-16,-5.684341886080802e-14,1.127986593019159e-13
H_24h_gmin_2p0,5.0,-5.168089389957561e-14,1.9999999999999973,-1.3322676295501878e-15,-3.552713678800501e-15,4.440892098500626e-15
H_24h_gmin_2p0,6.0,-1.93242269974923e-14,1.9999999999999996,-2.220446049250313e-16,-3.552713678800501e-15,6.661338147750939e-15
H_24h_gmin_2p0,7.0,-5.930848229412185e-14,2.000000000000001,4.440892098500626e-16,-3.552713678800501e-15,7.993605777301127e-15
H_24h_gmin_2p0,8.0,-3.797729835178469e-14,2.000000000000002,1.1102230246251565e-15,-3.552713678800501e-15,9.325873406851315e-15
H_24h_gmin_2p0,9.0,-9.453061324346758e-14,2.0000000000000004,2.220446049250313e-16,-3.552713678800501e-15,7.549516567451064e-15
H_24h_gmin_2p0,10.0,-8.843370053293239e-14,1.9999999999999991,-4.440892098500626e-16,0.0,-8.881784197001252e-16
H_24h_gmin_2p0,11.0,-5.0925513614777255e-14,1.9999999999999987,-6.661338147750939e-16,-3.552713678800501e-15,5.773159728050814e-15
H_24h_gmin_2p0,12.0,-4.3032827825976366e-14,1.9999999999999976,-1.2212453270876722e-15,-1.1368683772161603e-13,2.2493118478905672e-13
H_24h_gmin_2p0,13.0,-6.761310570425606e-15,1.9999999999999996,-2.220446049250313e-16,-1.1368683772161603e-13,2.26929586233382e-13
H_24h_gmin_2p0,14.0,-5.981864691281002e-14,1.9999999999999984,-7.771561172376096e-16,-1.7053025658242404e-13,3.3950620093037287e-13
H_24h_gmin_2p0,15.0,-1.1157459834059364e-13,1.999999999999998,-9.992007221626409e-16,-1.1368683772161603e-13,2.2537527399890678e-13
H_24h_gmin_2p0,16.0,-1.579867173689699e-13,1.999999999999998,-9.992007221626409e-16,-8.526512829121202e-14,1.6853185513809876e-13
H_24h_gmin_2p0,17.0,-6.716324825655367e-14,1.9999999999999982,-8.881784197001252e-16,-5.684341886080802e-14,1.1191048088221578e-13
H_24h_gmin_2p0,18.0,-1.32475470167172e-13,1.9999999999999973,-1.3322676295501878e-15,-5.684341886080802e-14,1.1102230246251565e-13
H_24h_gmin_2p0,19.0,-1.216667958901202e-13,1.9999999999999991,-4.440892098500626e-16,0.0,-8.881784197001252e-16
H_24h_gmin_2p0,20.0,-1.216667958901202e-13,1.9999999999999984,-7.771561172376096e-16,0.0,-1.5543122344752192e-15
H_24h_gmin_2p0,21.0,-4.323381087766855e-14,1.9999999999999967,-1.6653345369377348e-15,-2.842170943040401e-14,5.3512749786932545e-14
H_24h_gmin_2p0,22.0,-1.216667958901202e-13,1.9999999999999976,-1.2212453270876722e-15,0.0,-2.4424906541753444e-15
H_24h_gmin_2p0,23.0,-6.055222586968816e-14,1.9999999999999976,-1.2212453270876722e-15,-5.684341886080802e-14,1.1124434706744069e-13
H_24h_gmin_2p0,24.0,-1.3018255323067668e-13,1.999999999999998,-9.992007221626409e-16,-5.684341886080802e-14,1.1168843627729075e-13
