scenario,bus,region_name,beta_i,gfm_bess_capacity_GW,latitude,longitude,top5_flag,rank_beta
gSCR-GERSH,15,FR1 0,1.0,22.845902922676704,,,true,1
gSCR-GERSH,18,GR1 0,1.0,40.10183314009429,,,true,2
gSCR-GERSH,4,BE1 0,0.9940476190476191,50.52671526878539,,,true,3
gSCR-GERSH,16,GB0 0,0.9940476190476191,34.51857815128285,,,true,4
gSCR-GERSH,14,FI2 0,0.9910714285714286,28.396064162736497,,,true,5
gSCR-GERSH,35,SE2 0,0.9910714285714286,24.851317366287184,,,false,6
gSCR-GERSH,2,AT1 0,0.9821428571428571,38.2601175078337,,,false,7
gSCR-GERSH,8,DE1 0,0.9821428571428571,26.84918169259349,,,false,8
gSCR-GERSH,29,NL1 0,0.9791666666666666,33.75515329077025,,,false,9
gSCR-GERSH,12,ES1 0,0.9761904761904762,0.0,,,false,10
gSCR-GERSH,9,DK1 0,0.9672619047619048,38.6,,,false,11
gSCR-GERSH,23,IT3 0,0.9613095238095238,35.1292680755675,,,false,12
gSCR-GERSH,6,CH1 0,0.9583333333333334,33.23871412003937,,,false,13
gSCR-GERSH,33,RO1 0,0.9553571428571429,43.01267706888373,,,false,14
gSCR-GERSH,20,HU1 0,0.9523809523809523,36.373334442235205,,,false,15
gSCR-GERSH,31,PL1 0,0.9375,62.345216302733604,,,false,16
gSCR-GERSH,22,IT1 0,0.9136904761904762,29.55703407196751,,,false,17
gSCR-GERSH,7,CZ1 0,0.9107142857142857,31.935027836706617,,,false,18
gSCR-GERSH,5,BG1 0,0.875,24.897306776574382,,,false,19
gSCR-GERSH,17,GB5 0,0.6369047619047619,38.38675098551815,,,false,20
gSCR-GERSH,30,NO2 0,0.4851190476190476,13.229628806718392,,,false,21
gSCR-GERSH,19,HR1 0,0.4494047619047619,14.856132921692796,,,false,22
gSCR-GERSH,21,IE5 0,0.4107142857142857,29.651526810341075,,,false,23
gSCR-GERSH,10,DK2 0,0.2261904761904762,22.644235968300254,,,false,24
gSCR-GERSH,24,LT6 0,0.13392857142857142,13.126968017222639,,,false,25
gSCR-GERSH,32,PT1 0,0.026785714285714284,0.0,,,false,26
gSCR-GERSH,34,RS1 0,0.023809523809523808,7.0670567829192805,,,false,27
gSCR-GERSH,36,SI1 0,0.01488095238095238,4.75,,,false,28
gSCR-GERSH,27,ME1 0,0.011904761904761904,2.31,,,false,29
gSCR-GERSH,37,SK1 0,0.008928571428571428,13.76,,,false,30
gSCR-GERSH,1,AL1 0,0.005952380952380952,0.001,,,false,31
gSCR-GERSH,3,BA1 0,0.005952380952380952,1.1,,,false,32
gSCR-GERSH,11,EE6 0,0.005952380952380952,10.623031982777363,,,false,33
gSCR-GERSH,25,LU1 0,0.005952380952380952,10.85,,,false,34
gSCR-GERSH,26,LV6 0,0.005952380952380952,0.6,,,false,35
gSCR-GERSH,28,MK1 0,0.005952380952380952,3.0,,,false,36
gSCR-GERSH,13,ES4 0,0.002976190476190476,0.0,,,false,37
