base_kv,bus_i,bus_type,g_min,id,index,name,va,vm,vmax,vmin
380.0,1,3,,1,1,AL1 0,0.0,1.0,1.1,0.9
380.0,2,1,,2,2,AT1 0,0.0,1.0,1.1,0.9
380.0,3,1,,3,3,BA1 0,0.0,1.0,1.1,0.9
380.0,4,1,0.0,4,4,BE1 0,0.0,1.0,1.1,0.9
380.0,5,1,,5,5,BG1 0,0.0,1.0,1.1,0.9
380.0,6,1,,6,6,CH1 0,0.0,1.0,1.1,0.9
380.0,7,1,,7,7,CZ1 0,0.0,1.0,1.1,0.9
380.0,8,1,,8,8,DE1 0,0.0,1.0,1.1,0.9
380.0,9,1,,9,9,DK1 0,0.0,1.0,1.1,0.9
380.0,10,1,,10,10,DK2 0,0.0,1.0,1.1,0.9
380.0,11,1,,11,11,EE6 0,0.0,1.0,1.1,0.9
380.0,12,1,,12,12,ES1 0,0.0,1.0,1.1,0.9
380.0,13,1,,13,13,ES4 0,0.0,1.0,1.1,0.9
380.0,14,1,,14,14,FI2 0,0.0,1.0,1.1,0.9
380.0,15,1,,15,15,FR1 0,0.0,1.0,1.1,0.9
380.0,16,1,,16,16,GB0 0,0.0,1.0,1.1,0.9
380.0,17,1,,17,17,GB5 0,0.0,1.0,1.1,0.9
380.0,18,1,,18,18,GR1 0,0.0,1.0,1.1,0.9
380.0,19,1,,19,19,HR1 0,0.0,1.0,1.1,0.9
380.0,20,1,,20,20,HU1 0,0.0,1.0,1.1,0.9
380.0,21,1,,21,21,IE5 0,0.0,1.0,1.1,0.9
380.0,22,1,,22,22,IT1 0,0.0,1.0,1.1,0.9
380.0,23,1,,23,23,IT3 0,0.0,1.0,1.1,0.9
380.0,24,1,,24,24,LT6 0,0.0,1.0,1.1,0.9
380.0,25,1,,25,25,LU1 0,0.0,1.0,1.1,0.9
380.0,26,1,,26,26,LV6 0,0.0,1.0,1.1,0.9
380.0,27,1,,27,27,ME1 0,0.0,1.0,1.1,0.9
380.0,28,1,,28,28,MK1 0,0.0,1.0,1.1,0.9
380.0,29,1,,29,29,NL1 0,0.0,1.0,1.1,0.9
380.0,30,1,,30,30,NO2 0,0.0,1.0,1.1,0.9
380.0,31,1,,31,31,PL1 0,0.0,1.0,1.1,0.9
380.0,32,1,,32,32,PT1 0,0.0,1.0,1.1,0.9
380.0,33,1,,33,33,RO1 0,0.0,1.0,1.1,0.9
380.0,34,1,,34,34,RS1 0,0.0,1.0,1.1,0.9
380.0,35,1,,35,35,SE2 0,0.0,1.0,1.1,0.9
380.0,36,1,,36,36,SI1 0,0.0,1.0,1.1,0.9
380.0,37,1,,37,37,SK1 0,0.0,1.0,1.1,0.9
