br_status,carrier,cost,f_bus,id,index,loss0,loss1,model,name,p_max_pu,p_min_pu,pf,pmaxf,pmaxt,pminf,pmint,pt,qf,qmaxf,qmaxt,qminf,qmint,qt,t_bus,vf,vt
1,dc,"[0.0,0.0]",22,1,1,0.0,0.0,2,13589,1.0,-1.0,0.0,1000.0,1000.0,-1000.0,-1000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1.0,1.0
1,dc,"[0.0,0.0]",8,2,2,0.0,0.0,2,14801,1.0,-1.0,0.0,1000.0,1000.0,-1000.0,-1000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,1.0
1,dc,"[0.0,0.0]",22,3,3,0.0,0.0,2,14802,1.0,-1.0,0.0,1000.0,1000.0,-1000.0,-1000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1.0,1.0
1,dc,"[0.0,0.0]",29,4,4,0.0,0.0,2,14803,1.0,-1.0,0.0,700.0,700.0,-700.0,-700.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.0,1.0
1,dc,"[0.0,0.0]",30,5,5,0.0,0.0,2,14804+1,1.0,-1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.0,1.0
1,dc,"[0.0,0.0]",10,6,6,0.0,0.0,2,14805,1.0,-1.0,0.0,600.0,600.0,-600.0,-600.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.0,1.0
1,dc,"[0.0,0.0]",14,7,7,0.0,0.0,2,14807,1.0,-1.0,0.0,600.0,600.0,-600.0,-600.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1.0,1.0
1,dc,"[0.0,0.0]",35,8,8,0.0,0.0,2,14809,1.0,-1.0,0.0,300.0,300.0,-300.0,-300.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.0,1.0
1,dc,"[0.0,0.0]",22,9,9,0.0,0.0,2,14811,1.0,-1.0,0.0,500.0,500.0,-500.0,-500.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1.0,1.0
1,dc,"[0.0,0.0]",16,10,10,0.0,0.0,2,14814,1.0,-1.0,0.0,1000.0,1000.0,-1000.0,-1000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1.0,1.0
1,dc,"[0.0,0.0]",16,11,11,0.0,0.0,2,14815,1.0,-1.0,0.0,500.0,500.0,-500.0,-500.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.0,1.0
1,dc,"[0.0,0.0]",14,12,12,0.0,0.0,2,14816,1.0,-1.0,0.0,650.0,650.0,-650.0,-650.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1.0,1.0
1,dc,"[0.0,0.0]",35,13,13,0.0,0.0,2,14817,1.0,-1.0,0.0,500.0,500.0,-500.0,-500.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0,1.0
1,dc,"[0.0,0.0]",35,14,14,0.0,0.0,2,14818,1.0,-1.0,0.0,800.0,800.0,-800.0,-800.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0,1.0
1,dc,"[0.0,0.0]",35,15,15,0.0,0.0,2,14819,1.0,-1.0,0.0,250.0,250.0,-250.0,-250.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.0,1.0
1,dc,"[0.0,0.0]",24,16,16,0.0,0.0,2,14820,1.0,-1.0,0.0,700.0,700.0,-700.0,-700.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1.0,1.0
1,dc,"[0.0,0.0]",29,17,17,0.0,0.0,2,14821,1.0,-1.0,0.0,700.0,700.0,-700.0,-700.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.0,1.0
1,dc,"[0.0,0.0]",9,18,18,0.0,0.0,2,14822+1,1.0,-1.0,0.0,1140.0,1140.0,-1140.0,-1140.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.0,1.0
1,dc,"[0.0,0.0]",31,19,19,0.0,0.0,2,14823,1.0,-1.0,0.0,600.0,600.0,-600.0,-600.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1.0,1.0
1,dc,"[0.0,0.0]",10,20,20,0.0,0.0,2,14824,1.0,-1.0,0.0,600.0,600.0,-600.0,-600.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,1.0
1,dc,"[0.0,0.0]",15,21,21,0.0,0.0,2,14825,1.0,-1.0,0.0,2000.0,2000.0,-2000.0,-2000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.0,1.0
1,dc,"[0.0,0.0]",16,22,22,0.0,0.0,2,14826,1.0,-1.0,0.0,2000.0,2000.0,-2000.0,-2000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.0,1.0
1,dc,"[0.0,0.0]",8,23,23,0.0,0.0,2,14848,1.0,-1.0,0.0,1400.0,1400.0,-1400.0,-1400.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.0,1.0
1,dc,"[0.0,0.0]",16,24,24,0.0,0.0,2,5580,1.0,-1.0,0.0,250.0,250.0,-250.0,-250.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,1.0
1,dc,"[0.0,0.0]",16,25,25,0.0,0.0,2,5581,1.0,-1.0,0.0,2501.0,2501.0,-2501.0,-2501.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,1.0
1,dc,"[0.0,0.0]",22,26,26,0.0,0.0,2,5586+4,1.0,-1.0,0.0,300.0,300.0,-300.0,-300.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1.0,1.0
1,dc,"[0.0,0.0]",35,27,27,0.0,0.0,2,5601,1.0,-1.0,0.0,600.0,600.0,-600.0,-600.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,1.0
1,dc,"[0.0,0.0]",13,28,28,0.0,0.0,2,5640,1.0,-1.0,0.0,400.0,400.0,-400.0,-400.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.0,1.0
1,dc,"[0.0,0.0]",31,29,29,0.0,0.0,2,6342,1.0,-1.0,0.0,2000.0,2000.0,-2000.0,-2000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1.0,1.0
1,dc,"[0.0,0.0]",12,30,30,0.0,0.0,2,T0,1.0,-1.0,0.0,2200.0,2200.0,-2200.0,-2200.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.0,1.0
1,dc,"[0.0,0.0]",22,31,31,0.0,0.0,2,T1,1.0,-1.0,0.0,1000.0,1000.0,-1000.0,-1000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.0,1.0
1,dc,"[0.0,0.0]",16,32,32,0.0,0.0,2,T12,1.0,-1.0,0.0,1400.0,1400.0,-1400.0,-1400.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.0,1.0
1,dc,"[0.0,0.0]",16,33,33,0.0,0.0,2,T13,1.0,-1.0,0.0,1400.0,1400.0,-1400.0,-1400.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.0,1.0
