H,b_block,carrier,cost_inv_block,gen_bus,gen_status,gscr_rhs_uses_nameplate,id,index,marginal_cost,n_block0,n_block_max,na0,na0_corrected,na0_correction_policy,name,p_block_max,p_block_max_pu,p_block_min,p_block_min_pu,pg,pmax,pmin,q_block_max,q_block_min,qg,qmax,qmin,shutdown_block_cost,startup_block_cost,type
4.0,15.0,CCGT,2.970831878794573e7,1,1,true,1,1,42.246743185547565,0,0,0.0,true,clip_na0_to_n0,AL1 0 CCGT,300.0,1.0,150.0,0.44999999999999996,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,16.5,gfm
4.0,15.0,OCGT,1.352863245453675e7,1,1,true,2,2,53.39878480712948,0,0,0.0,true,clip_na0_to_n0,AL1 0 OCGT,300.0,1.0,150.0,0.2,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,21.0,gfm
0.0,0.0,offwind-ac,1.8938226140537657e7,1,1,true,3,3,0.015000000000000005,0,28,0.0,true,clip_na0_to_n0,AL1 0 offwind-ac,100.0,0.02178553014272238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
4.3,1.0,oil,757416.1481337658,1,1,true,4,4,147.79272494562747,4,4,1.0,false,clip_na0_to_n0,AL1 0 oil,20.0,1.0,4.0,0.0,0.0,89.85454305809466,0.0,10.0,-10.0,0.0,89.85454305809466,-89.85454305809466,0.0,0.0,gfm
0.0,0.0,onwind,4.804294400998315e6,1,1,true,5,5,0.015000000000000001,0,1350,0.0,true,clip_na0_to_n0,AL1 0 onwind,50.0,0.000363369168748289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
2.7,2.5,ror,1.4957011246461473e7,1,1,true,6,6,0.0,1,1,1.0,false,clip_na0_to_n0,AL1 0 ror,50.0,1.0,15.0,0.0,0.0,48.2,0.0,25.0,-25.0,0.0,48.2,-48.2,0.0,0.0,gfm
0.0,0.0,solar,1.7801035621902226e6,1,1,true,7,7,0.010000000000000002,1,1077,1.0,false,clip_na0_to_n0,AL1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
4.0,15.0,CCGT,2.970831878794573e7,2,1,true,8,8,42.246743185547565,14,14,1.0,false,clip_na0_to_n0,AT1 0 CCGT,300.0,1.0,150.0,0.45,0.0,4353.3,1958.9850000000001,150.0,-150.0,0.0,4353.3,-4353.3,0.0,16.5,gfm
4.0,15.0,OCGT,1.352863245453675e7,2,1,true,9,9,53.39878480712948,0,0,0.0,true,clip_na0_to_n0,AT1 0 OCGT,300.0,1.0,150.0,0.2,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,21.0,gfm
0.0,0.0,onwind,4.804294400998315e6,2,1,true,10,10,0.015000000000000001,64,2794,1.0,false,clip_na0_to_n0,AT1 0 onwind,50.0,0.017424578392859977,0.0,0.0,0.0,56.17893168798772,0.0,0.0,0.0,0.0,56.17893168798772,-56.17893168798772,0.0,0.0,gfl
