H,b_block,carrier,cost_inv_block,gen_bus,gen_status,gscr_rhs_uses_nameplate,id,index,marginal_cost,n_block0,n_block_max,na0,na0_corrected,na0_correction_policy,name,p_block_max,p_block_max_pu,p_block_min,p_block_min_pu,pg,pmax,pmin,q_block_max,q_block_min,qg,qmax,qmin,shutdown_block_cost,startup_block_cost,type
0.0,0.0,offwind-ac,1.8938226140537657e7,1,1,true,3,3,0.015000000000000005,0,28,0.0,true,clip_na0_to_n0,AL1 0 offwind-ac,100.0,0.02178553014272238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,1,1,true,5,5,0.015000000000000001,0,1350,0.0,true,clip_na0_to_n0,AL1 0 onwind,50.0,0.000363369168748289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,1,1,true,7,7,0.010000000000000002,1,1077,1.0,false,clip_na0_to_n0,AL1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,2,1,true,10,10,0.015000000000000001,64,2794,1.0,false,clip_na0_to_n0,AT1 0 onwind,50.0,0.017424578392859977,0.0,0.0,0.0,56.17893168798772,0.0,0.0,0.0,0.0,56.17893168798772,-56.17893168798772,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,2,1,true,12,12,0.010000000000000002,44,3511,1.0,false,clip_na0_to_n0,AT1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,3,1,true,16,16,0.015000000000000001,1,2769,1.0,false,clip_na0_to_n0,BA1 0 onwind,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,3,1,true,17,17,0.010000000000000002,1,1764,1.0,false,clip_na0_to_n0,BA1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,4,1,true,21,21,0.015000000000000005,9,14,1.0,false,clip_na0_to_n0,BE1 0 offwind-ac,100.0,0.316222160412764,0.0,0.0,0.0,286.71924075595973,0.0,0.0,0.0,0.0,286.71924075595973,-286.71924075595973,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,4,1,true,22,22,0.015000000000000003,14,24,0.0,false,clip_na0_to_n0,BE1 0 offwind-dc,100.0,0.41035240015908725,0.0,0.0,0.0,577.5197556747383,0.0,0.0,0.0,0.0,577.5197556747383,-577.5197556747383,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,4,1,true,23,23,0.015000000000000001,48,310,1.0,false,clip_na0_to_n0,BE1 0 onwind,50.0,0.10601082079312757,0.0,0.0,0.0,258.43529914590226,0.0,0.0,0.0,0.0,258.43529914590226,-258.43529914590226,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,4,1,true,25,25,0.010000000000000002,112,2120,1.0,false,clip_na0_to_n0,BE1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,5,1,true,31,31,0.015000000000000005,0,15,0.0,true,clip_na0_to_n0,BG1 0 offwind-ac,100.0,0.30030227021835443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,5,1,true,32,32,0.015000000000000003,0,1,0.0,false,clip_na0_to_n0,BG1 0 offwind-dc,100.0,0.4115786448049546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,5,1,true,33,33,0.015000000000000001,14,2910,1.0,false,clip_na0_to_n0,BG1 0 onwind,50.0,0.15144074519821007,0.0,0.0,0.0,106.48101676376548,0.0,0.0,0.0,0.0,106.48101676376548,-106.48101676376548,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,5,1,true,35,35,0.010000000000000002,21,4683,1.0,false,clip_na0_to_n0,BG1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,6,1,true,40,40,0.015000000000000001,1,1553,1.0,false,clip_na0_to_n0,CH1 0 onwind,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,6,1,true,42,42,0.010000000000000002,59,2501,1.0,false,clip_na0_to_n0,CH1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,7,1,true,47,47,0.015000000000000001,6,2082,1.0,false,clip_na0_to_n0,CZ1 0 onwind,50.0,0.04530315809829225,0.0,0.0,0.0,15.376344890141375,0.0,0.0,0.0,0.0,15.376344890141375,-15.376344890141375,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,7,1,true,49,49,0.010000000000000002,41,4189,1.0,false,clip_na0_to_n0,CZ1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,8,1,true,55,55,0.015000000000000005,10,41,1.0,false,clip_na0_to_n0,DE1 0 offwind-ac,100.0,0.849464577199084,0.0,0.0,0.0,914.5102575728605,0.0,0.0,0.0,0.0,914.5102575728605,-914.5102575728605,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,8,1,true,56,56,0.015000000000000003,66,212,0.0,false,clip_na0_to_n0,DE1 0 offwind-dc,100.0,0.8797956499728905,0.0,0.0,0.0,5868.613041993922,0.0,0.0,0.0,0.0,5868.613041993922,-5868.613041993922,0.0,0.0,gfl
