id,index,load_bus,name,pd,qd
1,1,1,AL1 0,578.9864864864863,0.0
2,2,2,AT1 0,7147.0,0.0
3,3,3,BA1 0,1135.0000000000002,0.0
4,4,4,BE1 0,10151.0,0.0
5,5,5,BG1 0,4084.8485,0.0
6,6,6,CH1 0,6583.965525690185,0.0
7,7,7,CZ1 0,7090.0,0.0
8,8,8,DE1 0,50300.561224538054,0.0
9,9,9,DK1 0,1647.0853720336386,0.0
10,10,10,DK2 0,1257.9146279663614,0.0
11,11,11,EE6 0,858.0,0.0
12,12,12,ES1 0,26329.891334374825,0.0
13,13,13,ES4 0,569.1086656251758,0.0
14,14,14,FI2 0,9940.286776797311,0.0
15,15,15,FR1 0,71005.93707532264,0.0
16,16,16,GB0 0,36365.0867053931,0.0
17,17,17,GB5 0,895.5219946068969,0.0
18,18,18,GR1 0,4631.999999999999,0.0
19,19,19,HR1 0,1692.0000000000002,0.0
20,20,20,HU1 0,3906.999999999999,0.0
21,21,21,IE5 0,2899.0000000000005,0.0
22,22,22,IT1 0,28980.182743270096,0.0
23,23,23,IT3 0,1708.3637286164674,0.0
24,24,24,LT6 0,945.9999999999999,0.0
25,25,25,LU1 0,796.7150025625654,0.0
26,26,26,LV6 0,730.0,0.0
27,27,27,ME1 0,381.0,0.0
28,28,28,MK1 0,1045.0,0.0
29,29,29,NL1 0,10751.0,0.0
30,30,30,NO2 0,15115.713223202689,0.0
31,31,31,PL1 0,14770.999999999998,0.0
32,32,32,PT1 0,5496.0,0.0
33,33,33,RO1 0,5469.0,0.0
34,34,34,RS1 0,4967.000000000001,0.0
35,35,35,SE2 0,16346.999999999998,0.0
36,36,36,SI1 0,1396.0,0.0
37,37,37,SK1 0,2998.0,0.0
